ARIMA,AAPL,MSFT,AMZN,GOOGL,BRK.B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,AIC_CAT,,,,,
ARIMA 010,-12699.12732,-10464.38642,-4415.862193,-1309.907245,5137.343949,4732.981041,-9107.460019,-2023.167904,-5982.249497,-10706.25755,-1065.09606,-10686.25649,-942.7522934,-10601.94543,-8636.862349,-23218.62396,-13449.96096,-23919.79441,-6623.671389,-9298.967811,,,,,
ARIMA 010d,-12700.60463,-10470.55891,-4419.988337,-1311.832695,5135.704716,4733.603347,-9114.581189,-2025.171263,-5988.674675,-10708.7226,-1068.542185,-10692.61023,-943.6665605,-10606.4122,-8644.542568,-23218.92618,-13449.71133,-23920.81315,-6622.390442,-9297.455961,,,,,
ARIMA 011,-12698.47263,-10465.22924,-4413.877615,-1308.801438,5137.62755,4734.93294,-9106.043038,-2021.637482,-5980.463842,-10704.31327,-1063.351475,-10698.42158,-942.1217683,-10602.1649,-8642.455072,-23216.92894,-13448.00279,-23921.63175,-6623.114924,-9297.686481,,,,,
ARIMA 0110,-12701.27977,-10470.98011,-4407.118651,-1320.111528,5130.149866,4743.763496,-9100.108584,-2031.690315,-5973.726061,-10694.74481,-1054.560948,-10693.60936,-932.4950531,-10593.24692,-8637.360381,-23210.04947,-13441.81517,-23915.62036,-6614.418831,-9291.869467,,,,,
ARIMA 0110d,-12702.73848,-10484.08045,-4412.892131,-1324.655925,5127.456085,4744.248478,-9107.808174,-2036.416017,-5985.363151,-10697.57184,-1059.636143,-10704.52479,-933.0277641,-10599.18496,-8650.668808,-23211.05137,-13442.37466,-23917.56463,-6613.015335,-9290.327118,,,,,
ARIMA 011d,-12699.76805,-10472.21863,-4418.064789,-1310.555359,5135.733493,4735.539961,-9113.55824,-2023.515204,-5986.74284,-10706.84132,-1066.682421,-10706.81228,-942.8868541,-10606.20641,-8651.775276,-23217.29825,-13447.7373,-23922.9623,-6621.795845,-9296.156393,,,,,
ARIMA 012,-12697.45128,-10467.43699,-4413.527409,-1312.995478,5138.99722,4736.493374,-9104.153603,-2026.342879,-5978.533525,-10702.37765,-1063.303284,-10703.03646,-940.2168213,-10602.84267,-8645.035732,-23220.32006,-13448.12139,-23919.7984,-6621.115444,-9295.886386,,,,,
ARIMA 012d,-12698.92215,-10475.54272,-4418.180064,-1315.285263,5136.94002,4737.145413,-9111.576643,-2028.798511,-5984.745772,-10704.97252,-1067.072295,-10713.10297,-940.9482135,-10607.42401,-8655.897485,-23220.99705,-13447.99099,-23921.07348,-6619.79734,-9294.346993,,,,,
ARIMA 013,-12695.48197,-10465.63001,-4412.135025,-1311.031051,5140.069373,4738.314674,-9107.374059,-2024.349007,-5976.602581,-10701.3961,-1062.248064,-10701.15292,-942.378179,-10600.84505,-8643.486947,-23219.13482,-13446.47397,-23917.81532,-6621.351663,-9293.898109,,,,,
ARIMA 013d,-12696.99061,-10473.55677,-4417.067703,-1313.387154,5138.227326,4738.934312,-9113.884263,-2026.843771,-5982.74694,-10703.76315,-1066.380698,-10711.55121,-942.8506762,-10605.43784,-8654.978142,-23219.94009,-13446.28625,-23919.11489,-6619.983548,-9292.356382,,,,,
ARIMA 014,-12693.89145,-10467.48348,-4411.050919,-1310.118132,5138.08061,4739.837463,-9106.211171,-2023.772525,-5977.649102,-10703.27258,-1061.815091,-10701.16694,-941.3720183,-10598.96517,-8643.706583,-23217.13652,-13444.97898,-23915.90155,-6619.779227,-9292.267881,,,,,
ARIMA 014d,-12695.30615,-10476.98148,-4416.339201,-1312.770197,5135.80384,4740.408483,-9112.37554,-2026.617364,-5984.750134,-10706.0928,-1066.424484,-10712.5261,-941.9735562,-10603.47162,-8656.437649,-23217.95317,-13444.87739,-23917.25313,-6618.431424,-9290.711362,,,,,
ARIMA 015,-12692.41777,-10470.69886,-4410.586823,-1314.323158,5129.078364,4740.314799,-9104.533523,-2027.139605,-5975.696873,-10702.59202,-1061.808845,-10700.25566,-940.5218414,-10597.65894,-8642.182354,-23215.14138,-13443.38156,-23916.36602,-6618.957628,-9295.093012,,,,,
ARIMA 015d,-12693.96267,-10482.05801,-4415.45668,-1317.787009,5126.065203,4740.793014,-9111.018426,-2030.768898,-5983.015402,-10705.68369,-1066.944305,-10712.35503,-941.2628221,-10602.50241,-8655.546991,-23215.95317,-13443.36752,-23917.46055,-6617.641398,-9293.586643,,,,,
ARIMA 016,-12690.86116,-10469.5671,-4408.61911,-1315.428407,5131.071463,4741.565734,-9103.695327,-2027.939571,-5975.863964,-10700.59491,-1060.02747,-10699.02457,-939.7003415,-10595.67105,-8640.280999,-23215.70468,-13444.32515,-23916.96558,-6617.713311,-9293.106635,,,,,
ARIMA 016d,-12692.2962,-10481.66425,-4413.456954,-1319.536482,5128.025953,4742.109111,-9110.792574,-2032.204295,-5984.190736,-10703.68688,-1065.34241,-10710.66944,-940.3120049,-10600.58356,-8653.992125,-23216.75718,-13444.54027,-23918.33703,-6616.374955,-9291.597785,,,,,
ARIMA 017,-12697.49381,-10467.5671,-4406.64894,-1318.15347,5125.039981,4743.34662,-9102.735805,-2029.876326,-5974.299364,-10700.70542,-1058.088282,-10697.99921,-937.7522578,-10594.33718,-8639.603576,-23213.93922,-13444.0261,-23915.22861,-6617.420652,-9293.59706,,,,,
ARIMA 017d,-12698.44973,-10479.76188,-4411.457575,-1321.577055,5122.666045,4743.924492,-9109.389146,-2033.504402,-5983.199296,-10703.45819,-1063.348669,-10709.10386,-938.3398851,-10598.97889,-8652.616108,-23215.07378,-13444.40857,-23916.51234,-6616.044748,-9292.126736,,,,,
ARIMA 018,-12704.05037,-10472.11633,-4410.523783,-1323.547873,5126.510396,4745.210935,-9103.25958,-2035.117325,-5972.667048,-10698.70735,-1056.337132,-10696.0863,-935.9809489,-10592.45897,-8639.690662,-23212.25219,-13442.24886,-23918.85976,-6615.576357,-9291.597354,,,,,
ARIMA 018d,-12705.50722,-10486.05248,-4416.266904,-1327.837147,5123.93923,4745.816764,-9110.748139,-2039.624826,-5982.137179,-10701.46658,-1061.827259,-10707.10686,-936.6378704,-10597.27131,-8653.898473,-23213.48727,-13442.68598,-23920.58777,-6614.189019,-9290.126743,,,,,
ARIMA 019,-12702.68058,-10470.11635,-4408.843304,-1322.09984,5128.460964,4742.244064,-9101.853127,-2033.686401,-5971.630527,-10696.73933,-1054.402327,-10694.43668,-934.3410049,-10591.98862,-8637.848321,-23210.25312,-13443.4516,-23917.04451,-6615.723192,-9290.391857,,,,,
ARIMA 019d,-12704.0203,-10484.14366,-4414.43038,-1326.598257,5125.929243,4742.676271,-9109.705059,-2038.410378,-5981.837682,-10699.56675,-1060.023138,-10705.96117,-934.9241762,-10597.27331,-8651.9,-23211.50144,-13444.06526,-23918.85757,-6614.291817,-9288.897558,,,,,
ARIMA 1010,-12701.42671,-10472.13154,-4406.845627,-1319.370601,5130.359344,4742.730631,-9100.831032,-2031.41091,-5973.319406,-10694.39692,-1055.026631,-10693.97644,-932.5577759,-10592.90288,-8637.553109,-23209.84101,-13441.90555,-23916.93841,-6614.092562,-9291.054258,,,,,
ARIMA 1010d,-12702.89168,-10485.23038,-4412.546357,-1323.464537,5127.795646,4743.231585,-9108.663232,-2035.677675,-5983.464535,-10697.21919,-1060.169739,-10704.97372,-933.0967867,-10598.72176,-8651.010417,-23210.8123,-13442.44192,-23918.80895,-6612.689878,-9289.512022,,,,,
ARIMA 1011,-12699.05447,-10472.10298,-4405.622497,-1320.243785,5130.016284,4744.124013,-9099.668358,-2032.162268,-5971.822104,-10692.39742,-1053.670487,-10692.11442,-930.5534486,-10592.40536,-8636.103535,-23209.05004,-13439.9767,-23914.91747,-6612.360546,-9289.242682,,,,,
ARIMA 10110,-12703.89359,-10469.49446,-4405.771074,-1323.172729,5127.483268,4747.749973,-9099.235791,-2032.565718,-5979.032268,-10695.80612,-1049.891319,-10693.72944,-933.9339164,-10591.19795,-8631.471047,-23213.71194,-13447.85747,-23916.37958,-6617.805524,-9294.037071,,,,,
ARIMA 1011d,-12700.31225,-10483.53899,-4411.93608,-1325.310757,5124.227606,4744.621252,-9108.084198,-2037.437421,-5981.748716,-10695.21906,-1058.503206,-10702.98505,-931.0864081,-10598.13398,-8649.120322,-23210.06187,-13440.60147,-23916.78914,-6610.953696,-9287.706352,,,,,
ARIMA 1012,-12703.90939,-10470.16702,-4413.092219,-1327.263052,5112.337331,4744.85183,-9097.902147,-2039.724585,-5979.73138,-10690.39698,-1058.805891,-10690.20066,-928.5201185,-10592.99819,-8634.135851,-23207.91869,-13439.47567,-23924.21045,-6610.269611,-9294.559088,,,,,
ARIMA 1012d,-12705.39909,-10481.63827,-4418.992721,-1329.286311,5126.228426,4745.044425,-9106.415697,-2042.267336,-5981.030362,-10693.21848,-1059.801663,-10701.08037,-929.0783833,-10598.30609,-8647.422693,-23208.96029,-13440.12504,-23925.95076,-6608.863217,-9293.060766,,,,,
ARIMA 1013,-12701.10474,-10475.99488,-4404.962418,-1321.6987,5125.303672,4741.802072,-9095.757201,-2033.261808,-5980.485365,-10688.39853,-1053.700206,-10689.90759,-926.5916779,-10591.61679,-8632.147863,-23205.82536,-13444.44403,-23919.4189,-6618.261183,-9290.437218,,,,,
ARIMA 1013d,-12706.18713,-10479.74018,-4411.148348,-1326.616801,5119.397676,4741.994624,-9103.954311,-2038.396396,-5992.659159,-10691.21812,-1059.044284,-10709.58439,-927.184925,-10597.16714,-8645.495771,-23206.85837,-13444.67059,-23919.76057,-6619.412689,-9288.926041,,,,,
ARIMA 1014,-12704.04857,-10465.29254,-4404.080382,-1325.060969,5127.241531,4743.781056,-9093.70509,-2036.604369,-5978.514754,-10702.13537,-1051.616251,-10696.49402,-935.2408747,-10589.77008,,-23209.83422,-13443.01543,-23920.95026,-6617.871606,-9296.733548,,,,,
ARIMA 1014d,-12709.04063,-10477.7418,-4410.151902,-1329.452455,5121.277858,4744.148439,-9101.981046,-2041.225781,-5990.661346,-10699.0969,-1057.045955,-10706.09694,-933.631796,-10595.5161,,-23209.27931,-13443.34462,-23922.38424,-6617.43965,-9295.219407,,,,,
ARIMA 1015,-12701.57583,-10473.43286,-4404.683502,-1324.537893,5116.956537,4745.842267,-9106.435854,-2034.665656,-5977.111281,-10684.7044,-1052.768177,-10694.71296,-935.9014649,-10592.9542,-8628.33284,-23210.33614,-13451.57037,-23918.07321,-6615.107652,-9302.911646,,,,,
ARIMA 1015d,-12704.13063,-10486.21716,-4410.692695,-1328.180406,5110.887818,4746.031968,-9113.732311,-2039.072309,-5989.019549,-10708.93182,-1059.990668,-10707.18675,-932.985025,-10603.10832,-8641.381258,-23213.54682,-13452.09839,-23920.24733,-6618.604614,-9300.592232,,,,,
ARIMA 110,-12698.40709,-10464.95632,-4413.876693,-1308.697333,5137.693889,4734.931442,-9106.051129,-2021.580959,-5980.466435,-10704.31261,-1063.334808,-10696.66251,-942.1440676,-10601.98795,-8641.692602,-23216.89526,-13447.99994,-23921.6982,-6623.115202,-9297.701795,,,,,
ARIMA 110d,-12699.70672,-10471.82767,-4418.059649,-1310.467942,5135.818298,4735.538092,-9113.5619,-2023.472194,-5986.743006,-10706.83932,-1066.672368,-10704.59739,-942.9030852,-10606.05039,-8650.720987,-23217.25602,-13447.73547,-23923.01942,-6621.79503,-9296.170951,,,,,
ARIMA 111,-12696.93187,-10471.21188,-4411.8772,-1310.95642,5136.78928,4734.882388,-9104.047462,-2023.944928,-5978.465068,-10702.31292,-1061.894821,-10703.5929,-940.9054208,-10601.80945,-8646.97427,-23214.6616,-13446.00118,-23919.69983,-6621.114611,-9295.694599,,,,,
ARIMA 1110,-12698.83767,-10471.91608,-4405.800688,-1318.118576,5130.116013,4744.913094,-9099.117232,-2029.688033,-5972.187579,-10692.74446,-1053.286173,-10691.60212,-930.4931091,-10592.62762,-8635.671563,-23209.23395,-13440.98351,-23913.08771,-6612.684166,-9289.937423,,,,,
ARIMA 1110d,-12700.05781,-10483.28749,-4412.049598,-1323.814642,5124.238571,4745.399847,-9107.186056,-2034.419444,-5983.587628,-10695.57226,-1057.970382,-10702.54347,-931.0256637,-10598.46916,-8648.645769,-23210.32271,-13441.5013,-23915.33721,-6611.276471,-9288.39951,,,,,
ARIMA 111d,-12696.6058,-10484.4259,-4416.062474,-1312.750797,5131.032259,4735.483279,-9111.560764,-2025.816583,-5984.742819,-10704.84028,-1065.265753,-10715.39476,-940.8945091,-10605.94903,-8660.928031,-23214.97282,-13445.73618,-23920.9617,-6619.795007,-9294.164094,,,,,
ARIMA 112,-12694.53061,-10466.1208,-4412.243242,-1315.724168,5139.566807,4738.357675,-9103.923758,-2024.346189,-5976.534225,-10700.37951,-1064.827117,-10701.75167,-938.9446347,-10600.83873,-8645.029499,-23219.06228,-13446.65496,-23918.09542,-6619.114925,-9293.887414,,,,,
ARIMA 112d,-12695.85581,-10482.56152,-4417.928502,-1320.463825,5138.121054,4739.095349,-9109.570905,-2033.542347,-5982.745779,-10704.56831,-1075.584185,-10713.40194,-939.5100126,-10605.4298,-8658.927127,-23220.07196,-13446.53591,-23920.33297,-6617.796138,-9292.34787,,,,,
ARIMA 113,-12693.81861,-10464.08883,-4410.321933,-1309.035734,5141.507127,4738.780558,-9105.843598,-2022.350655,-5976.380529,-10700.84144,-1062.889627,-10699.11569,-940.7970282,-10598.84566,-8643.079335,-23216.93954,-13444.47144,-23916.54495,-6619.514964,-9291.899451,,,,,
ARIMA 113d,-12694.92322,-10480.7877,-4415.552989,-1319.193649,5139.665543,4738.957486,-9112.121105,-2024.847943,-5980.746643,-10703.24319,-1073.872169,-10718.77854,-941.3005698,-10603.43721,-8657.066098,-23217.82156,-13444.28413,-23918.85213,-6618.152065,-9290.357533,,,,,
ARIMA 114,-12691.98084,-10471.48015,-4412.176375,-1314.681126,5135.455709,4741.416842,-9104.22244,-2028.047923,-5975.6531,-10702.09582,-1061.489292,-10699.58969,-939.7266457,-10596.95548,-8642.136071,-23215.21247,-13446.97624,-23914.61651,-6618.023235,-9293.73062,,,,,
ARIMA 114d,-12693.00483,-10484.7583,-4417.292474,-1319.444554,5132.501361,4741.924603,-9110.50538,-2033.00776,-5991.317811,-10705.15946,-1066.964651,-10711.47154,-940.3995497,-10601.46608,-8655.894878,-23216.0441,-13447.5337,-23916.89477,-6616.688082,-9292.168427,,,,,
ARIMA 115,-12690.17542,-10470.2082,-4408.586196,-1314.100822,5131.075785,4739.856099,-9103.429936,-2026.969989,-5973.700595,-10700.59234,-1059.984798,-10698.5382,-939.0664702,-10595.66172,-8640.166183,-23213.4705,-13445.51323,-23918.94813,-6617.197992,-9293.088136,,,,,
ARIMA 115d,-12691.30803,-10483.42226,-4413.456793,-1318.650229,5128.049423,4740.3839,-9111.167797,-2031.797605,-5989.522283,-10703.68291,-1065.365368,-10710.50987,-939.8023843,-10600.51181,-8653.881955,-23214.23789,-13446.08001,-23920.12375,-6615.877864,-9291.582266,,,,,
ARIMA 116,-12689.09001,-10468.21122,-4406.619001,-1319.44251,5129.291077,4743.434846,-9103.001456,-2031.065161,-5976.446202,-10698.59445,-1058.026503,-10697.79302,-937.7069169,-10593.6681,-8638.309109,-23214.07388,-13445.04429,-23916.36051,-6617.608367,-9291.103232,,,,,
ARIMA 116d,-12690.00791,-10481.42824,-4411.456952,-1323.457144,5126.112297,4744.002291,-9109.967617,-2035.240919,-5988.719939,-10701.68759,-1063.342175,-10708.63341,-938.3161766,-10598.5781,-8653.42412,-23215.26926,-13445.64034,-23918.50026,-6616.191609,-9289.594731,,,,,
ARIMA 117,-12702.74658,-10466.27935,-4407.560924,-1319.580797,5126.414954,4745.334203,-9101.491153,-2030.965303,-5972.303414,-10698.70496,-1056.087207,-10695.96789,-935.7492591,-10592.32591,-8638.825112,-23211.82368,-13443.13613,-23915.27922,-6616.141167,-9291.595659,,,,,
ARIMA 117d,-12703.81648,-10479.62449,-4409.457165,-1323.113313,5123.862738,4745.915579,-9108.164491,-2034.677648,-5986.750918,-10701.4593,-1061.348403,-10707.10337,-936.3375139,-10596.9673,-8651.921926,-23212.91346,-13443.71841,-23916.54766,-6614.719094,-9290.125888,,,,,
ARIMA 118,-12702.84823,-10470.11634,-4408.910773,-1322.612138,5128.320691,4743.686972,-9101.73139,-2034.105213,-5972.739182,-10696.7074,-1054.338255,-10694.1036,-934.0167847,-10590.47513,-8637.72175,-23210.03758,-13441.16786,-23917.16602,-6614.141236,-9289.597811,,,,,
ARIMA 118d,-12704.20626,-10484.09651,-4414.502834,-1327.527012,5125.817178,4744.321781,-9109.73187,-2039.230015,-5985.038936,-10699.46631,-1059.829004,-10705.10395,-934.7485729,-10597.48181,-8651.89506,-23211.49024,-13441.75894,-23919.07766,-6612.719063,-9288.126891,,,,,
ARIMA 119,-12700.44349,-10471.97484,-4406.844208,-1320.102243,5130.315847,4742.913863,-9099.860885,-2031.685807,-5971.429077,-10694.73941,-1054.003537,-10693.00053,-932.3474556,-10590.83752,-8635.817655,-23209.67506,-13442.94382,-23914.98585,-6614.559825,-9289.347501,,,,,
ARIMA 119d,-12701.50756,-10482.97486,-4412.43235,-1324.603208,5127.78995,4743.399907,-9107.713298,-2036.411574,-5983.725647,-10697.5665,-1059.567658,-10704.3971,-932.9285983,-10596.52703,-8649.898508,-23210.97521,-13443.4795,-23917.29042,-6613.140418,-9287.824802,,,,,
ARIMA 210,-12697.48963,-10467.25501,-4413.439359,-1312.695126,5138.945064,4736.501987,-9104.110836,-2025.96543,-5978.530423,-10702.37738,-1063.242483,-10702.13542,-940.2892285,-10602.8447,-8644.309203,-23220.19751,-13448.03164,-23919.8015,-6621.116103,-9295.894583,,,,,
ARIMA 210d,-12698.96988,-10475.12749,-4418.029232,-1314.945185,5136.898172,4737.152128,-9111.56225,-2028.3676,-5984.74553,-10704.97018,-1066.962584,-10711.5244,-941.002673,-10607.44628,-8654.615898,-23220.83087,-13447.89558,-23921.08032,-6619.795204,-9294.354337,,,,,
ARIMA 211,-12695.49116,-10466.06684,-4412.26632,-1310.770357,5139.57806,4738.297227,-9102.451559,-2024.115882,-5976.529761,-10700.376,-1064.867641,-10701.65101,-938.9532396,-10600.85905,-8645.029108,-23218.82868,-13446.72335,-23917.79784,-6619.115272,-9293.894008,,,,,
ARIMA 2110,-12709.66238,-10469.91264,-4413.538621,-1317.204364,5132.12728,4745.553004,-9097.113635,-2029.063346,-5980.28313,-10690.74514,-1054.127327,-10689.75874,-928.4931517,-10593.58693,-8633.632832,-23208.10023,-13439.05047,-23911.49786,-6610.583981,-9288.268349,,,,,
ARIMA 2110d,-12700.59534,-10481.46125,-4419.668311,-1322.055353,5124.840546,4745.738436,-9104.846782,-2034.108471,-5981.894,-10693.57353,-1059.282967,-10700.57437,-929.0250522,-10599.07445,-8647.012807,-23209.22111,-13439.5468,-23913.5379,-6609.173931,-9286.740265,,,,,
ARIMA 211d,-12696.9834,-10473.26972,-4417.912368,-1312.964675,5137.626789,4739.095766,-9110.167758,-2026.440151,-5982.745526,-10702.96766,-1075.534493,-10713.40394,-939.5164619,-10605.45078,-8658.92835,-23219.89655,-13446.55421,-23919.07904,-6617.795087,-9292.353872,,,,,
ARIMA 212,-12693.5088,-10469.10976,-4412.604981,-1315.046154,5125.439814,4726.386028,-9106.992232,-2028.600907,-5974.532074,-10698.37768,-1062.962559,-10700.16419,-937.6020767,-10598.8511,-8644.044919,-23217.91858,-13447.3527,-23915.79459,-6618.517489,-9291.890549,,,,,
ARIMA 212d,-12694.97469,-10482.20179,-4418.426002,-1319.864108,5139.76058,4739.800038,-9114.544194,-2033.611407,-5980.745701,-10705.34778,-1073.745897,-10711.7767,-938.1768253,-10603.44351,-8657.851107,-23220.25402,-13447.93077,-23917.08119,-6617.135308,-9290.350716,,,,,
ARIMA 213,-12691.51222,-10467.17595,-4408.2482,-1313.819807,5126.527625,4733.813704,-9104.694607,-2026.943433,-5974.777741,-10700.54585,-1060.828759,-10698.42318,-942.4958731,-10596.97633,-8642.159786,-23215.23899,-13444.14151,-23913.66319,-6619.019454,-9289.899243,,,,,
ARIMA 213d,-12692.98517,-10480.56587,-4414.107308,-1318.580055,5124.599536,4740.947061,-9111.317253,-2031.948256,-5978.746415,-10702.8555,-1071.711476,-10710.39093,-943.1100234,-10601.44467,-8656.191697,-23219.0011,-13444.69001,-23914.9695,-6617.667172,-9288.357481,,,,,
ARIMA 214,-12689.97425,-10471.81444,-4412.038423,-1313.175976,5125.554821,4730.747753,-9105.349414,-2026.442737,-5976.902614,-10715.17758,-1059.141257,-10699.62195,-940.4509296,-10594.95846,-8640.048196,-23213.19812,-13445.42354,-23916.47469,-6627.848403,-9295.514626,,,,,
ARIMA 214d,-12691.33855,-10484.78271,-4416.63817,-1317.897548,5123.448171,4734.080857,-9112.326857,-2031.296356,-5989.525838,-10717.89682,-1069.882176,-10710.79439,-941.095922,-10599.46346,-8654.332509,-23217.78413,-13444.60951,-23918.59138,-6626.543438,-9291.692834,,,,,
ARIMA 215,-12706.99483,-10468.14415,-4406.585784,-1312.716607,5126.128138,4733.834079,-9105.127578,-2024.894156,-5975.130025,-10713.99755,-1057.9539,-10697.90472,-941.7173131,-10600.53495,-8638.181785,-23211.27308,-13443.05014,-23914.96636,-6615.692367,-9292.463599,,,,,
ARIMA 215d,-12708.53469,-10481.31491,-4411.457744,-1315.936096,5123.671182,4742.510862,-9111.43779,-2029.870556,-5987.444862,-10716.51401,-1063.316522,-10709.47375,-942.2722703,-10605.45182,-8651.903992,-23215.79866,-13443.6724,-23916.28097,-6614.372135,-9290.982951,,,,,
ARIMA 216,-12691.06737,-10466.54794,-4404.627506,-1324.490754,5127.822087,4734.441954,-9103.511646,-2036.348539,-5974.393709,-10698.56531,-1056.028862,-10695.85953,-939.7212003,-10599.89656,-8638.664824,-23212.67874,-13442.96463,-23917.13452,-6625.057741,-9290.467521,,,,,
ARIMA 216d,-12700.75043,-10479.74073,-4409.457947,-1327.915519,5125.321357,4734.87906,-9110.118547,-2039.936426,-5986.675117,-10701.42331,-1061.382377,-10707.43147,-940.2787505,-10596.60068,-8652.459135,-23215.1643,-13451.47145,-23919.31476,-6613.491918,-9288.98927,,,,,
ARIMA 217,-12702.98535,-10464.82878,-4414.51784,-1322.199586,5128.357175,4746.705034,-9101.573312,-2034.358487,-5972.454997,-10696.70624,-1054.081287,-10693.79999,-939.3702244,-10597.95387,-8638.505992,-23210.08401,-13442.56167,-23915.22621,-6614.915015,-9298.570984,,,,,
ARIMA 217d,-12704.19854,-10477.89543,-4407.457936,-1326.042064,5125.84219,4747.275576,-9105.979403,-2038.041488,-5984.811147,-10699.4626,-1059.435419,-10705.59414,-940.120928,-10602.38366,-8651.444596,-23211.32743,-13442.74031,-23917.3735,-6613.483464,-9297.063698,,,,,
ARIMA 218,-12700.86211,-10470.40065,-4407.11105,-1320.72417,5130.408542,4739.168552,-9101.489541,-2032.197799,-5971.187111,-10694.70863,-1052.914625,-10692.12318,-932.1470594,-10596.93068,-8637.47323,-23210.00338,-13440.79715,-23915.48996,-6612.92214,-9296.661777,,,,,
ARIMA 218d,-12702.3447,-10484.11227,-4413.221958,-1325.615392,5127.862689,4739.735444,-9108.653008,-2037.32699,-5983.506521,-10697.46965,-1058.458232,-10706.60253,-932.8175912,-10601.79785,-8650.840891,-23210.09172,-13441.3524,-23917.52118,-6611.513901,-9295.163914,,,,,
