ARIMA,AAPL,MSFT,AMZN,GOOGL,BRK.B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,AIC_CAT,,,,,
ARIMA 219,-12698.88062,-10471.4032,-4405.151464,-1318.610322,5130.365695,4743.890906,-9099.027171,-2030.134767,-5969.543301,-10692.73997,-1054.615905,-10690.73859,-948.708859,-10595.55548,-8634.921001,-23206.29417,-13440.75693,-23913.49536,-6612.976979,-9293.785282,,,,,V
ARIMA 219d,-12700.21931,-10483.41829,-4411.224503,-1323.530913,5124.361034,4744.090951,-9106.803721,-2035.589916,-5981.793314,-10695.56794,-1065.104255,-10702.2189,-949.1878157,-10600.74494,-8648.837707,-23210.53281,-13441.62053,-23915.53882,-6611.275663,-9292.239416,,,1,ARIMA 310,-10700.29664
ARIMA 310,-12695.49317,-10465.66825,-4412.176935,-1310.728739,5139.649343,4738.294789,-9106.870933,-2024.033634,-5976.573729,-10701.44954,-1061.962377,-10700.29664,-942.2554488,-10600.90855,-8642.743516,-23219.0781,-13446.40708,-23917.80236,-6621.325947,-9293.898924,,,2,ARIMA 310d,-10709.98101
ARIMA 310d,-12696.99115,-10473.29111,-4417.067185,-1312.951745,5137.807571,4738.912802,-9113.427841,-2026.391745,-5982.745576,-10703.83516,-1065.940535,-10709.98101,-942.7239779,-10605.45492,-8653.531083,-23219.83296,-13446.21736,-23919.09101,-6619.956861,-9292.357384,,,3,ARIMA 311,-10700.01432
ARIMA 311,-12693.494,-10463.99478,-4410.419727,-1308.733296,5141.292351,4738.79117,-9105.451609,-2022.039046,-5974.578182,-10700.77806,-1062.943886,-10700.01432,-940.7876097,-10598.90638,-8643.07599,-23217.07805,-13444.40994,-23915.80031,-6619.527416,-9291.898228,,,,ARIMA 311d,-10717.4789
ARIMA 3110,-12697.09286,-10467.79955,-4405.183851,-1321.019084,5126.811431,4742.254456,-9103.312179,-2032.328234,-5978.173578,-10688.74511,-1056.082544,-10690.0189,-936.1734459,-10591.93972,-8631.876594,-23206.21669,-13436.58374,-23914.47538,-6609.052167,-9286.203731,,,,ARIMA 312,-10698.47966
ARIMA 3110d,-12702.74381,-10479.57052,-4411.344698,-1325.937713,5128.339878,4742.436869,-9109.710302,-2037.456913,-5992.50621,-10691.57761,-1058.452512,-10709.12034,-936.0923381,-10597.57609,-8645.086056,-23207.07514,-13437.10728,-23916.00122,-6607.637797,-9284.668788,,,,ARIMA 312d,-10710.43872
ARIMA 311d,-12694.99278,-10471.63931,-4415.497883,-1310.953757,5139.436085,4738.969149,-9111.761476,-2024.394649,-5980.745694,-10703.23489,-1073.879995,-10717.4789,-941.2910796,-10603.45465,-8657.076415,-23217.83393,-13444.3598,-23917.09374,-6618.164048,-9290.356817,,,,ARIMA 313,-10700.22106
ARIMA 312,-12691.48054,-10467.25211,-4413.783415,-1313.804042,5126.52411,4732.664253,-9104.492352,-2026.968633,-5988.357736,-10699.08856,-1060.869144,-10698.47966,-942.4801765,-10600.86479,-8642.171028,-23215.07179,-13444.18539,-23914.44348,-6619.20143,-9289.897323,,,,ARIMA 313d,-10712.03529
ARIMA 312d,-12692.98635,-10480.50799,-4413.430705,-1318.278584,5124.600062,4740.975285,-9111.384652,-2031.959788,-5978.746297,-10701.42398,-1071.699376,-10710.43872,-943.0728595,-10601.44377,-8656.192776,-23219.63605,-13444.73298,-23916.64219,-6617.94025,-9288.355818,,,,ARIMA 314,-10697.66238
ARIMA 313,-12696.02398,-10473.47921,-4416.209914,-1325.49584,5125.677778,,-9102.953706,-2036.563185,-5976.661236,-10714.48051,-1059.036164,-10700.22106,-942.3243389,-10595.48842,-8640.145608,-23216.04473,-13453.16097,-23922.28065,-6618.294134,-9300.45143,,,,ARIMA 314d,-10709.3008
ARIMA 313d,-12708.31308,-10486.68919,-4420.396181,-1330.350543,5119.776797,,-9109.444118,-2041.606762,-5997.192589,-10716.50559,-1069.864895,-10712.03529,-943.0420289,-10608.65828,-8653.372715,-23218.13387,-13453.21191,-23927.95905,-6616.884211,-9298.966133,,,,ARIMA 315,-10695.90768
ARIMA 314,-12706.52494,-10472.34286,-4409.841302,-1324.075115,5125.317629,4730.257061,-9100.237188,-2032.691361,-5976.331604,-10713.76407,-1056.943677,-10697.66238,-938.495732,-10593.43763,-8638.575298,-23213.82534,-13441.89232,-23911.49519,-6626.396642,-9289.379208,,,,ARIMA 315d,-10707.32013
ARIMA 314d,-12707.70781,-10485.56853,-4414.706658,-1328.880009,5122.460388,4730.894816,-9107.276526,-2037.536407,-5988.553414,-10717.16652,-1067.905059,-10709.3008,-939.1151479,-10608.15164,-8652.358898,-23215.92975,-13442.44895,-23922.14777,-6625.048767,-9296.507712,,,,ARIMA 316,-10693.80626
ARIMA 315,-12696.00874,-10471.34037,-4412.883502,-1322.895279,5128.136504,4731.881365,-9099.44269,-2033.530057,-5974.262117,-10712.56451,-1063.562718,-10695.90768,-939.7168331,-10599.23139,-8636.755065,-23222.13603,-13451.08841,-23918.65067,-6623.860467,-9297.524299,,,,ARIMA 316d,-10704.69667
ARIMA 315d,-12697.22177,-10484.56134,-4417.262368,-1327.680695,5124.691838,4732.472763,-9111.760367,-2038.514285,-5986.567862,-10714.98742,-1070.086444,-10707.32013,-937.1562789,-10603.61573,-8650.42277,-23215.88477,-13451.15926,-23920.08474,-6622.787288,-9296.029398,,,,ARIMA 317,-10694.3635
ARIMA 316,-12703.68516,-10473.0507,-4412.386953,-1324.159734,5130.099366,4741.49971,-9101.828712,-2035.284765,-5986.391842,-10710.63038,-1062.856233,-10693.80626,-937.8082797,-10597.72215,-8634.835642,-23210.91299,-13440.62107,-23915.00175,-6623.064142,-9295.297884,,,,ARIMA 317d,-10705.69022
ARIMA 316d,-12695.24988,-10486.22504,-4417.396449,-1328.776658,5127.270341,4742.158209,-9109.468053,-2040.086254,-5998.718686,-10713.22766,-1063.703331,-10704.69667,-935.1604879,-10607.45748,-8651.116452,-23213.42365,-13441.18916,-23917.9385,-6621.710703,-9294.771255,,,,ARIMA 318,-10694.02343
ARIMA 317,-12700.96629,-10471.08722,-4409.558704,-1322.016553,5130.249503,4734.542764,-9099.624407,-2033.841829,-5980.522787,-10694.70567,-1060.007306,-10694.3635,-937.4992434,-10596.20515,-8637.188996,-23208.11229,-13444.18234,-23913.1655,-6612.313749,-9295.37778,,,,ARIMA 318d,-10701.4544
ARIMA 317d,-12702.17194,-10484.0481,-4414.568681,-1326.677019,5127.697973,4735.235584,-9107.431536,-2038.719722,-5996.744709,-10697.46185,-1077.757182,-10705.69022,-936.5672737,-10600.631,-8651.076155,-23209.3371,-13444.29642,-23915.34826,-6610.892295,-9293.84505,,,,ARIMA 319,-10691.98139
ARIMA 318,-12698.97869,-10468.65573,-4405.810457,-1321.267957,5132.212715,4736.495576,-9097.541257,-2033.44791,-5977.5493,-10692.7111,-1055.150483,-10694.02343,-945.2526194,-10593.95152,-8636.204632,-23214.90732,-13439.80421,-23913.52673,-6610.382217,-9295.962198,,,,ARIMA 319d,-10711.49808
ARIMA 318d,-12700.37894,-10482.29683,-4411.875926,-1326.044616,5125.390884,4737.029401,-9105.620072,-2038.413034,-5994.816631,-10695.46586,-1063.112696,-10701.4544,-943.7591483,-10598.69771,-8648.759622,-23216.60904,-13443.01404,-23915.63916,-6609.299495,-9294.45743,,,,ARIMA 3110,-10690.0189
ARIMA 319,-12697.04025,-10466.46598,-4409.2464,-1319.474437,5132.994578,4741.717597,-9095.72674,-2031.513956,-5980.727215,-10690.74389,-1057.593652,-10691.98139,-932.6217227,-10593.50583,-8642.93174,-23204.29407,-13438.89874,-23911.54202,-6611.446988,-9291.78131,,,,ARIMA 3110d,-10709.12034
ARIMA 319d,-12698.23432,-10480.11169,-4412.73539,-1324.179968,5116.461589,4741.890928,-9103.718403,-2036.456068,-5992.995003,-10693.56614,-1061.691178,-10711.49808,-934.4859604,-10598.83257,-8647.296724,-23211.27653,-13439.47633,-23913.66887,-6609.862085,-9290.247907,,,,,
ARIMA 410,-12693.71117,-10466.12385,-4411.112635,-1309.857028,5139.308085,4739.83622,-9106.014579,-2023.399755,-5977.638283,-10702.96213,-1061.534531,-10700.60026,-941.4972324,-10598.95704,-8642.975141,-23217.0781,-13444.864,-23916.01706,-6619.846364,-9292.151043,,,,,
ARIMA 410d,-12695.13736,-10474.5755,-4416.346158,-1312.310344,5137.169005,4740.406481,-9112.179628,-2026.019624,-5984.59394,-10705.75915,-1065.909464,-10711.23614,-942.1049451,-10603.45885,-8654.803673,-23217.83712,-13444.73993,-23917.38024,-6618.50042,-9290.598935,,,,,
ARIMA 411,-12691.91238,-10472.04635,-4412.409862,-1315.204493,5136.523111,4741.496738,-9104.151052,-2028.492457,-5975.582445,-10701.82045,-1061.690557,-10699.84912,-939.8428176,-10596.96446,-8642.114076,-23215.0781,-13442.86209,-23914.69443,-6618.038235,-9293.328852,,,,,
ARIMA 4110,-12695.53243,-10466.00801,-4407.30184,-1324.370541,5118.016785,4744.337098,-9093.389485,-2034.660087,-5978.222148,-10702.33245,-1051.960992,-10696.18959,-943.832472,-10594.85995,-8631.44224,-23203.71273,-13444.61571,-23915.42536,-6610.370834,-9296.223169,,,,,
ARIMA 4110d,-12699.90254,-10477.60337,-4414.722953,-1329.597413,5114.586286,4744.471479,-9101.403604,-2040.602316,-5990.516089,-10710.09089,-1057.795732,-10701.9776,-925.0366572,-10600.05003,-8642.88973,-23207.74134,-13448.04725,-23913.88689,-6608.946,-9294.783687,,,,,
ARIMA 411d,-12693.16864,-10485.27076,-4417.488699,-1319.953661,5133.670287,4742.020251,-9110.351751,-2033.441123,-5991.393544,-10704.87702,-1067.091512,-10711.59143,-940.5476715,-10601.46127,-8655.829306,-23215.83178,-13442.73899,-23916.91616,-6616.673293,-9291.771008,,,,,
ARIMA 412,-12689.77357,-10472.62282,-4412.069323,-1313.642135,5125.785431,4730.122827,-9105.350033,-2026.833809,-5978.266254,-10715.15826,-1061.288511,-10699.09634,-940.5040095,-10594.9548,-8640.406223,-23215.30888,-13444.29926,-23917.00735,-6627.729749,-9296.042329,,,,,
ARIMA 412d,-12691.19371,-10485.13367,-4416.805767,-1318.369136,5123.777055,4730.743952,-9112.208194,-2031.779973,-5990.561244,-10717.86218,-1069.881895,-10710.33208,-941.1237622,-10599.45653,-8654.328589,-23217.78581,-13445.93682,-23919.24678,-6626.44787,-9294.643944,,,,,
ARIMA 413,-12706.58689,-10470.92062,-4414.445085,-1324.110692,5125.333752,4730.261288,-9104.371356,-2032.935199,-5976.334631,-10713.57378,-1058.428869,-10697.89615,-938.5098919,-10593.46449,-8638.564802,-23213.43174,-13441.97938,-23916.57733,-6626.353185,-9297.729223,,,,,
ARIMA 413d,-12711.00813,-10483.28466,-4414.651547,-1328.910995,5122.517142,4730.894972,-9107.439968,-2037.929243,-6000.469712,-10715.85647,-1067.908289,-10713.51372,-939.1495155,-10609.98318,-8652.351679,-23216.49644,-13442.55534,-23919.71444,-6625.015356,-9287.461912,,,,,
ARIMA 414,-12699.61684,-10473.90175,-4412.783408,-1323.852475,5123.938597,,-9099.633365,-2031.754545,-5988.864595,-10707.70621,-1060.184425,-10697.36641,-936.4833584,-10593.2258,-8637.761775,-23212.65251,-13439.45371,-23915.59407,-6613.178183,-9301.892762,,,,,
ARIMA 414d,-12703.89438,-10487.03076,-4412.411831,-1327.371995,5118.087105,,-9105.423739,-2036.77953,-5987.014137,-10712.8699,-1067.454322,-10714.53968,-937.1457796,-10605.87039,-8654.303467,-23215.18392,-13440.1799,-23919.30763,-6623.007626,-9300.701731,,,,,
ARIMA 415,-12703.22482,-10468.63138,-4404.967978,-1325.445555,5129.133845,4734.674214,-9097.880346,-2032.669402,-5987.472356,-10710.53367,-1061.534748,-10693.91768,-936.8906543,-10597.49401,-8635.837093,-23210.29785,-13438.23515,-23917.16714,-6613.783819,-9301.942617,,,,,
ARIMA 415d,-12707.57195,-10481.87221,-4418.254283,-1326.85123,5120.09242,4734.855594,-9109.891808,-2037.492416,-5998.799315,-10713.24453,-1067.212376,-10713.00823,-935.1718656,-10602.69639,-8652.379852,-23212.76858,-13438.92997,-23919.46388,-6611.80189,-9298.718554,,,,,
ARIMA 416,-12694.75523,-10471.06882,-4405.743514,-1324.203861,5127.777071,4735.874843,-9099.88871,-2035.466709,-5984.550865,-10708.68942,0,-10691.74883,-932.6599721,-10594.44784,-8641.075108,-23208.82275,-13453.12105,-23917.16723,-6617.999368,-9298.773234,,,,,
ARIMA 416d,-12704.21147,-10484.28344,-4415.792959,-1328.927694,5125.084815,4736.445161,-9107.425933,-2040.36527,-5996.820979,-10712.46627,-1066.294676,-10711.73371,-936.2055315,-10605.09181,-8650.40404,-23211.3444,-13454.40097,-23919.57104,-6617.402259,-9297.262747,,,,,
ARIMA 417,-12699.39869,-10469.21034,-4409.300178,-1322.209133,5131.997248,,-9111.38579,-2033.448775,-5982.463477,-10703.93792,-1058.939199,-10692.60425,-934.3875402,-10594.43392,-8644.862664,-23206.95393,-13452.71817,-23915.79628,-6613.99846,-9293.401778,,,,,
ARIMA 417d,-12700.6155,-10482.35235,-4416.045686,-1326.932899,5129.542828,,-9110.218603,-2038.468213,-5994.74905,-10712.76204,-1068.595616,-10701.51404,-937.9117644,-10598.15611,-8649.04031,-23221.7846,-13453.1435,-23917.84931,-6612.583698,-9291.93202,,,,,
ARIMA 418,-12696.96341,-10471.18082,-4405.612306,-1328.427057,5134.221414,4738.486887,-9110.543135,-2041.361905,-5981.123426,-10701.69914,-1057.969779,-10689.15024,-945.0253263,-10593.14492,-8642.959562,-23209.15863,-13447.551,-23914.45061,-6612.002999,-9291.424583,,,,,
ARIMA 418d,-12698.36093,-10481.98865,-4411.789226,-1332.525935,5127.065034,4739.023683,-9111.161879,-2043.3717,-5993.141176,-10706.99097,-1063.57858,-10711.52806,-936.9092672,-10604.94432,-8647.251278,-23207.29432,-13446.9155,-23916.39471,-6610.619132,-9289.928637,,,,,
ARIMA 419,-12695.01572,-10473.74217,-4408.054391,-1325.898908,5119.310147,4742.282297,-9101.318311,-2037.126289,-5970.514679,-10700.06302,-1056.543747,-10695.55634,-931.3936748,-10592.19226,-8643.649658,-23205.80015,-13451.8478,-23909.48256,-6610.046332,-9289.748449,,,,,
ARIMA 419d,-12696.41175,-10483.27284,-4414.332708,-1329.763891,5117.842154,4742.482302,-9108.277845,-2041.735946,-5991.695054,-10709.16681,-1059.788268,-10704.05652,-935.0931094,-10597.89767,-8650.835195,-23206.75454,-13445.65267,-23911.54561,-6608.665641,-9288.279903,,,,,
ARIMA 510,-12692.32047,-10469.70579,-4410.588417,-1314.78798,5129.025403,4740.48021,-9104.535522,-2027.401632,-5975.65583,-10702.3167,-1061.708112,-10701.07372,-940.6266624,-10597.75344,-8641.996196,-23215.0859,-13443.07366,-23916.75597,-6618.823683,-9295.387971,,,,,
ARIMA 510d,-12693.88969,-10479.5083,-4415.451537,-1317.852811,5126.124251,4740.966928,-9111.036686,-2030.610479,-5982.718339,-10705.39431,-1066.576795,-10712.77329,-941.3788351,-10602.56681,-8654.609744,-23215.83781,-13442.99595,-23917.88972,-6617.510256,-9293.887262,,,,,
ARIMA 511,-12690.44217,-10471.42901,-4408.589452,-1313.429329,5130.956412,4740.109583,-9103.90952,-2027.220034,-5977.353961,-10700.31714,-1060.178053,-10699.03435,-939.2093853,-10595.75135,-8640.220815,-23213.08395,-13445.81162,-23919.73331,-6617.158761,-9293.780736,,,,,
ARIMA 5110,-12704.46527,-10471.43295,-4411.217619,-1324.960564,5120.322879,4746.201272,-9099.376541,-2035.185971,-5986.078841,-10696.89222,-1052.569179,-10693.87428,-928.5765928,-10592.846,-8633.353027,-23201.51276,-13441.13732,-23912.07931,-6617.047498,-9302.72429,,,,,
ARIMA 5110d,-12706.18465,-10483.45216,-4416.534249,-1329.330185,5121.111431,4746.388115,-9110.62451,-2039.778856,-5988.523838,-10701.93077,-1057.739237,-10704.18986,-940.5269837,-10597.99695,-8646.055759,-23201.82811,-13441.30296,-23916.70571,-6618.345602,-9301.216935,,,,,
ARIMA 511d,-12692.00445,-10484.53741,-4413.451921,-1318.862745,5128.005805,4740.63886,-9111.857631,-2032.108205,-5989.623804,-10703.3963,-1065.498573,-10710.79467,-939.9347334,-10600.55938,-8653.830364,-23213.83722,-13446.38458,-23920.92779,-6615.841586,-9292.262704,,,,,
ARIMA 512,-12706.97021,-10469.36957,-4406.592105,-1312.476438,5126.815328,4741.866204,-9101.266934,-2024.880633,-5976.301011,-10714.03159,-1058.178369,-10698.05597,-938.5294324,-10600.72208,-8638.488519,-23213.4413,-13452.99811,-23920.75486,-6615.531669,-9292.323277,,,,,
ARIMA 512d,-12708.54063,-10482.4863,-4411.45302,-1315.304707,5124.560976,4742.41778,-9107.832722,-2027.789227,-5988.6142,-10716.5455,-1063.444102,-10708.83485,-939.170213,-10605.61476,-8652.372034,-23215.91888,-13453.38682,-23921.94583,-6614.210641,-9290.834822,,,,,
ARIMA 513,-12695.72071,-10471.60586,-4413.20853,-1323.025961,5127.491645,4731.905395,-9102.762042,-2033.612192,-5977.558914,-10712.64781,-1057.33378,-10695.73102,-936.537419,-10598.75038,-8636.779374,-23213.37097,-13450.68201,-23924.67747,-6620.421103,-9297.367183,,,,,
ARIMA 513d,-12706.36816,-10484.80895,-4417.650459,-1327.798143,5124.974744,4732.501884,-9109.153777,-2038.586192,-5986.801491,-10715.23041,-1064.815341,-10706.90088,-937.1659688,-10603.7991,-8650.413989,-23215.83042,-13451.14188,-23922.88799,-6612.061103,-9295.862059,,,,,
ARIMA 514,-12715.94151,-10468.70022,-4405.78484,-1325.438452,5125.963104,4734.691607,-9101.407247,-2032.729666,-5988.419325,-10710.57957,-1055.281843,-10694.24726,-934.4935938,-10594.56394,-8644.179128,-23211.28714,-13448.83372,-23928.47858,-6612.043276,-9301.711624,,,,,
ARIMA 514d,-12704.29167,-10481.94658,-4419.047864,-1329.16593,5120.212683,4734.874224,-9115.360623,-2037.350936,-5998.768012,-10713.04006,-1070.408705,-10705.77009,-935.1853661,-10601.11417,-8658.063953,-23213.45351,-13448.87438,-23930.56391,-6612.418551,-9300.392249,,,,,
ARIMA 515,-12704.39973,-10474.49953,-4403.958385,-1324.534309,5117.418193,4736.254543,-9099.420968,-2037.580848,-5986.08382,-10708.63262,-1060.723105,-10693.74114,-932.3854249,-10597.78583,-8636.760584,-23208.71615,-13447.25366,-23920.67248,-6628.818372,-9300.688815,,,,,
ARIMA 515d,-12700.25437,-10483.77013,-4415.54228,-1328.257304,5121.709506,4736.592741,-9105.698072,-2039.187712,-5997.804737,-10711.13922,-1065.279781,-10704.38408,-933.1783662,-10605.2978,-8656.249949,-23213.16774,-13453.75886,-23919.83782,-6623.105083,-9295.393082,,,,,
ARIMA 516,-12702.18201,-10471.31929,-4400.990856,-1322.093858,5123.016223,4736.4667,-9109.524591,-2033.188566,-5983.911239,-10706.70374,-1059.619088,-10692.19499,-930.5774819,-10590.76667,-8632.371845,-23215.23548,-13447.04032,-23924.75505,-6627.700458,-9302.34061,,,,,
ARIMA 516d,-12703.87366,-10483.15221,-4416.464055,-1326.832236,5117.070544,4735.881758,-9115.367039,-2038.706628,-5995.961384,-10705.85348,-1064.410025,-10702.50401,-938.4436275,-10602.8671,-8647.049227,-23217.95769,-13446.71098,-23926.29401,-6630.333599,-9300.772413,,,,,
ARIMA 517,-12697.56191,-10469.9095,-4399.859034,-1319.028641,5129.879527,4748.895932,-9096.135855,-2031.030525,-5984.285652,-10705.68559,-1066.184101,-10697.71392,-934.911035,-10594.96785,-8633.35424,-23215.67005,-13448.6586,-23924.17273,-6620.407367,-9301.561729,,,,,
ARIMA 517d,-12698.82896,-10481.15072,-4416.377407,-1323.761365,5123.027843,4749.734886,-9116.461284,-2035.910256,-5994.13364,-10710.69601,-1068.197147,-10703.55868,-938.5842729,-10609.0817,-8650.23155,-23217.08514,-13449.15173,-23926.27224,-6619.060244,-9300.0742,,,,,
ARIMA 518,-12695.62317,-10475.24931,-4412.16346,-1326.424986,5133.075464,,-9095.719199,-2036.963121,-5982.370197,-10703.8066,-1057.114314,-10690.44065,-932.1372383,-10593.58363,-8637.541082,-23218.35671,-13447.30972,-23922.30236,-6619.293686,-9299.840961,,,,,
ARIMA 518d,-12696.75135,-10485.7902,-4418.36338,-1330.580915,5124.912219,,-9103.656552,-2039.372303,-5992.095531,-10708.83331,-1062.167859,-10699.79704,-935.2273837,-10606.36783,-8649.514897,-23221.32007,-13447.66094,-23924.4249,-6617.766057,-9298.2512,,,,,
ARIMA 519,-12698.68436,-10472.04627,-4410.894402,-1324.551341,5118.414499,4744.204039,-9093.937174,-2035.17773,-5980.238428,-10702.62432,-1055.669004,-10688.63858,-930.1714102,-10590.19197,-8635.671856,-23210.01613,-13444.16603,-23920.33934,-6608.098214,-9289.302285,,,,,
ARIMA 519d,-12694.83741,-10483.2414,-4417.048034,-1328.526743,5109.819574,4744.396301,-9101.783894,-2039.316822,-5990.085565,-10707.69723,-1059.734526,-10699.62711,-935.6219383,-10596.03153,-8648.889292,-23213.03565,-13450.62442,-23924.2697,-6606.477003,-9296.653755,,,,,
ARIMA 610,-12691.38577,-10469.41791,-4408.636352,-1313.959133,5130.850607,4741.55529,-9104.306818,-2026.559274,-5975.323901,-10700.32252,-1060.100454,-10699.09243,-939.8740201,-10595.75517,-8640.494544,-23215.47926,-13444.26027,-23917.06803,-6617.913352,-9293.455294,,,,,
ARIMA 610d,-12692.78761,-10480.09253,-4413.455231,-1317.308336,5127.837685,4742.106608,-9111.427476,-2030.059379,-5983.022125,-10703.43178,-1065.205905,-10710.80777,-940.4869922,-10600.60939,-8653.72864,-23216.43722,-13444.36458,-23918.42189,-6616.568306,-9291.948781,,,,,
ARIMA 611,-12690.65417,-10467.43032,-4406.636491,-1317.292298,5128.516333,4743.407245,-9103.606208,-2029.335581,-5976.57521,-10698.32192,-1058.100124,-10697.10379,-937.9264853,-10593.7566,-8640.250794,-23213.9338,-13445.8631,-23918.02058,-6617.422795,-9291.462997,,,,,
ARIMA 6110,-12702.73983,-10469.51504,-4403.393889,-1324.280287,5128.44009,4739.591559,-9095.860638,-2037.49649,-5978.744607,-10690.38279,-1050.64255,-10691.95128,-930.846645,-10590.47429,-8631.844248,-23208.39909,-13443.44755,-23915.46946,-6622.297089,-9304.665133,,,,,
ARIMA 6110d,-12701.90426,-10481.84884,-4410.165133,-1328.532148,5123.259852,4747.982577,-9103.459621,-2039.313096,-5991.032005,-10705.67264,-1059.76587,-10704.77209,-934.4092558,-10596.19557,-8645.481305,-23205.5978,-13442.18086,-23916.58561,-6620.195067,-9299.090983,,,,,
ARIMA 611d,-12691.87162,-10482.53817,-4411.45513,-1320.644105,5125.421238,4743.980666,-9110.564101,-2032.832141,-5988.809896,-10701.43125,-1063.510083,-10708.79802,-938.5159768,-10598.6139,-8653.38324,-23215.06476,-13446.44931,-23919.30694,-6615.996945,-9289.956139,,,,,
ARIMA 612,-12705.06278,-10467.88912,-4404.630648,-1323.911765,5127.967512,4733.738697,-9101.216649,-2035.998059,-5974.563452,-10698.02645,-1056.188354,-10698.11092,-936.0759316,-10597.11829,-8639.351199,-23211.87507,-13443.87914,-23917.87053,-6616.139373,-9290.33335,,,,,
ARIMA 612d,-12706.60985,-10480.96037,-4409.454088,-1326.877071,5125.097236,4734.301589,-9109.249463,-2039.125919,-5986.822102,-10701.09017,-1061.510359,-10709.34248,-937.1707937,-10604.79386,-8652.068756,-23215.22435,-13444.46263,-23920.04286,-6614.869582,-9288.842623,,,,,
