ARIMA,AAPL,MSFT,AMZN,GOOGL,BRK.B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,AIC_CAT,,,,,
ARIMA 613,-12703.17413,-10469.644,-4412.5823,-1323.778395,5129.907975,4741.536451,-9102.312511,-2034.905133,-5986.550618,-10710.60467,-1062.988618,-10696.37602,-934.5314367,-10598.27002,-8639.338646,-23211.36955,-13448.99962,-23924.06585,-6621.570481,-9295.343016,,,,,
ARIMA 613d,-12704.68997,-10482.80592,-4417.5335,-1328.448313,5127.788579,4742.184872,-9110.141001,-2039.772734,-5998.824102,-10713.17887,-1068.600273,-10708.12237,-935.1708613,-10612.04731,-8652.404638,-23215.04036,-13449.393,-23925.09611,-6623.914117,-9293.63863,,,,,
ARIMA 614,-12701.45396,-10471.6425,-4412.582132,-1324.297787,5130.54126,4735.887688,-9100.33421,-2035.610284,-5972.29146,-10708.75566,-1053.434459,-10692.19672,-932.54887,-10595.53954,-8636.98392,-23223.3151,-13449.55216,-23924.99213,-6624.720485,-9300.731839,,,,,
ARIMA 614d,-12705.81034,-10484.57383,-4417.275667,-1329.011327,5125.157712,4736.422166,-9108.061836,-2040.505659,-5984.454765,-10711.44869,-1065.262188,-10703.72273,-933.1789762,-10605.2164,-8650.337072,-23224.00899,-13449.49047,-23924.20212,-6623.663448,-9301.495398,,,,,
ARIMA 615,-12698.4634,-10471.44273,-4410.693712,-1322.232047,5126.728827,4736.310868,-9101.616969,-2033.276894,-5985.586734,-10702.04644,-1059.583655,-10691.7771,-936.919972,-10593.31425,-8634.145418,-23210.36762,-13448.17681,-23924.80129,-6627.910805,-9306.108436,,,,,
ARIMA 615d,-12700.07511,-10483.19542,-4416.519794,-1326.660134,5123.437596,4736.15952,-9112.21769,-2037.919972,-5995.998206,-10712.19259,-1064.343141,-10702.442,-931.2338665,-10603.47969,-8647.338837,-23219.10058,-13448.43056,-23919.06212,-6630.388251,-9304.817012,,,,,
ARIMA 616,-12702.42076,-10474.24413,-4406.114597,-1324.239117,5119.864838,4738.918628,-9103.590587,-2031.403295,-5982.239508,-10709.62037,-1059.251544,-10698.39933,-928.6078347,-10590.76701,-8639.424739,-23218.54251,-13445.60085,-23918.12751,-6627.432209,-9303.431962,,,,,
ARIMA 616d,-12704.27967,-10481.37416,-4412.791016,-1332.533921,5110.385774,4738.885335,-9112.376815,-2041.50672,-5994.017942,-10711.58675,-1062.220787,-10709.46292,-932.1518544,-10606.38744,-8652.197015,-23222.74622,-13445.92047,-23915.55643,-6628.367746,-9296.483157,,,,,
ARIMA 617,-12700.57883,-10470.03441,-4406.027552,-1323.530058,5123.127871,4742.545558,-9101.779272,-2033.052666,-5980.395887,-10708.40201,-1060.393822,-10692.59529,-926.6054367,-10597.14389,-8642.58229,-23219.34081,-13453.65113,-23920.85805,-6629.736882,-9301.017541,,,,,
ARIMA 617d,-12704.66502,-10479.22136,-4411.04092,-1333.114679,5116.647229,4740.013858,-9109.517944,-2043.431611,-5992.128642,-10711.11519,-1062.925507,-10707.12019,-927.2426157,-10606.01609,-8648.249798,-23221.82967,-13453.82152,-23922.10544,-6628.510176,-9299.577344,,,,,
ARIMA 618,-12704.26791,-10466.45439,-4406.225122,-1316.429469,5129.641954,4744.463388,-9097.363135,-2027.810097,-5980.480313,-10699.19367,-1054.993435,-10695.03914,-933.3848599,-10592.77344,-8640.383802,-23217.3954,-13442.07807,-23915.88731,-6623.532831,-9298.828185,,,,,
ARIMA 618d,-12705.65208,-10478.80484,-4411.872481,-1327.124005,5118.813468,4742.375545,-9107.521727,-2032.768485,-5990.134722,-10709.17096,-1057.552307,-10698.68668,-933.3595559,-10605.22897,-8645.967788,-23219.94215,-13441.86348,-23922.90047,-6626.104576,-9297.263658,,,,,
ARIMA 619,-12699.22414,-10467.22561,-4408.282487,-1314.600634,5133.581662,4746.395434,-9099.453437,-2032.993878,-5974.904778,-10688.76354,-1051.499817,-10686.99769,-931.6034213,-10591.06492,-8633.112431,-23215.56726,-13460.88289,-23914.17081,-6622.111436,-9296.834722,,,,,
ARIMA 619d,-12699.69412,-10484.21925,-4410.396298,-1319.395235,5115.704646,4746.614472,-9107.526588,-2037.777866,-5990.441126,-10708.12421,-1059.705021,-10705.90541,-938.6100602,-10600.8483,-8643.574167,-23207.64012,-13448.39488,-23916.25629,-6616.273943,-9295.163371,,,,,
ARIMA 710,-12696.68822,-10467.44749,-4406.691211,-1315.15015,5125.488591,4743.310373,-9103.094864,-2027.390148,-5973.671735,-10700.38212,-1058.101728,-10697.87937,-937.9630781,-10594.42049,-8639.624424,-23213.73823,-13443.54364,-23915.63546,-6617.121249,-9293.092852,,,,,
ARIMA 710d,-12697.67327,-10478.32345,-4411.461194,-1318.074126,5123.065053,4743.893256,-9109.876579,-2030.478524,-5981.710712,-10703.17734,-1063.248625,-10709.13468,-938.542593,-10599.03714,-8652.235729,-23214.76839,-13443.77325,-23916.88621,-6615.743361,-9291.615187,,,,,
ARIMA 711,-12702.42376,-10467.58104,-4407.916682,-1317.696923,5126.726561,4745.300898,-9101.882628,-2029.595967,-5971.668291,-10698.38235,-1056.101235,-10695.90723,-935.9669655,-10592.43026,-8638.975271,-23211.82563,-13443.90808,-23916.19683,-6615.108652,-9291.097158,,,,,
ARIMA 7110,-12713.782,-10468.70393,-4413.31635,-1323.994918,5113.626507,4741.224813,-9102.379476,-2030.191617,-5977.25811,-10701.10232,-1048.803155,-10692.60362,-934.8530708,-10588.80249,-8632.4583,-23203.34895,-13448.51982,-23908.62016,-6619.635349,-9288.704075,,,,,
ARIMA 7110d,-12714.83854,-10481.54511,-4406.68618,-1326.497535,5112.49345,4737.962445,-9108.691369,-2036.564587,-5988.990566,-10709.19907,-1061.17711,-10702.1145,-935.0850052,-10602.61147,-8646.237078,-23205.75991,-13454.20408,-23916.63067,-6616.824238,-9295.694373,,,,,
ARIMA 711d,-12703.5038,-10480.75657,-4409.459848,-1320.660628,5124.143497,4745.886147,-9108.660453,-2032.71111,-5986.811204,-10701.1767,-1061.509754,-10707.13541,-936.5457499,-10597.04778,-8651.622914,-23212.88862,-13444.51315,-23917.42259,-6613.731671,-9289.619124,,,,,
ARIMA 712,-12703.66773,-10466.17085,-4411.700968,-1321.916972,5128.556974,4746.405265,-9099.613929,-2034.016118,-5972.595725,-10696.38199,-1054.222544,-10694.04812,-934.5151956,-10598.35167,-8636.471952,-23209.94228,-13442.87677,-23915.94379,-6614.369597,-9298.756097,,,,,
ARIMA 712d,-12704.90951,-10479.22305,-4407.457249,-1324.879921,5126.05753,4746.328735,-9107.685627,-2037.124912,-5984.826026,-10699.41287,-1059.530766,-10708.61743,-935.1783777,-10602.79518,-8649.457657,-23211.03167,-13443.46314,-23918.09706,-6612.936979,-9297.255909,,,,,
ARIMA 713,-12701.75714,-10471.81212,-4410.626571,-1322.31817,5130.552121,4734.695814,-9100.295637,-2034.344967,-5984.580021,-10694.539,-1061.669801,-10694.18439,-932.1494982,-10596.56071,-8635.33749,-23207.06444,-13446.36346,-23913.50968,-6614.033842,-9298.364659,,,,,
ARIMA 713d,-12702.92794,-10484.97939,-4413.291952,-1326.988134,5128.049813,4735.223639,-9108.142581,-2039.216255,-5996.84594,-10697.34001,-1072.22692,-10705.71184,-932.7009419,-10600.91794,-8649.23634,-23210.24387,-13441.79382,-23916.37406,-6612.629932,-9296.850831,,,,,
ARIMA 714,-12700.5341,-10469.77087,-4406.940588,-1322.297511,5132.449606,,-9098.290306,-2033.832102,-5982.55847,-10707.10098,-1066.638299,-10693.52095,-934.1462493,-10594.78051,-8634.883367,-23213.15947,-13448.41755,-23923.67923,-6613.89468,-9293.68835,,,,,
ARIMA 714d,-12701.75967,-10482.91804,-4415.701588,-1326.966346,5129.933345,,-9106.181249,-2038.742234,-5994.829479,-10701.27587,-1066.732775,-10711.87123,-930.6126125,-10606.20103,-8648.959141,-23214.17517,-13453.05686,-23914.72451,-6612.475059,-9294.839648,,,,,
ARIMA 715,-12698.66003,-10469.8839,-4410.052933,-1320.339138,5131.333653,4744.140545,-9101.213183,-2031.68012,-5982.186833,-10710.06235,-1057.585747,-10695.99983,-931.4013733,-10597.92645,-8633.011631,-23209.37622,-13447.81847,-23922.06721,-6620.290305,-9301.56265,,,,,
ARIMA 715d,-12699.91551,-10481.2555,-4415.655182,-1325.038393,5120.690474,4741.970039,-9111.165108,-2036.708998,-5993.936171,-10717.91503,-1066.585877,-10703.91276,-929.2245537,-10608.25296,-8647.086339,-23215.01269,-13448.26734,-23927.82236,-6610.596862,-9299.083965,,,,,
ARIMA 716,-12700.12769,-10469.94415,-4404.438307,-1322.961358,5129.863047,4738.944765,-9101.68648,-2031.054673,-5977.687003,-10706.29413,-1057.254515,-10696.28207,-930.1645815,-10597.25885,-8644.745754,-23207.21974,,-23921.45119,-6610.226598,-9298.285007,,,,,
ARIMA 716d,-12706.11946,-10479.33902,-4414.606576,-1328.615349,5122.464166,4739.743803,-9110.384716,-2038.765621,-5989.458547,-10711.17588,-1062.073313,-10703.01068,-933.7823938,-10606.40323,-8648.557592,-23221.00786,,-23928.01543,-6608.13502,-9296.918597,,,,,
ARIMA 717,-12710.16048,-10473.61981,,-1323.253698,5120.661339,4744.614017,-9106.039872,-2034.352187,-5982.062394,-10710.01434,-1055.126298,-10695.59082,-931.0089845,-10598.57276,-8635.25807,-23206.00868,-13444.30967,-23919.89539,-6630.977488,-9296.340956,,,,,
ARIMA 717d,-12720.85871,-10480.02721,-4416.415871,-1333.606946,5113.680665,4729.32506,-9114.675017,-2041.880768,-5991.91812,-10709.32184,-1060.162126,-10704.00124,-931.5689317,-10605.61344,-8645.460938,-23211.44362,-13439.02111,-23926.01662,-6629.571491,-9294.72466,,,,,
ARIMA 718,-12701.92728,-10469.88702,-4409.969662,-1324.427195,5116.735931,,-9095.383343,-2036.328666,-5981.79855,-10704.27471,-1052.225527,-10692.71241,-922.5735384,-10595.15427,-8636.291978,-23205.6262,-13439.92089,-23917.85201,-6630.877942,-9300.89328,,,,,
ARIMA 718d,-12703.77868,-10483.01317,-4415.851138,-1326.48352,5120.392131,,-9112.677908,-2039.552422,-5992.062358,-10706.304,-1057.056052,-10707.31342,-931.7402729,-10604.15928,-8650.292406,-23220.24623,-13439.39813,-23920.38663,-6629.453405,-9295.761789,,,,,
ARIMA 719,-12714.89326,-10474.35746,-4408.147369,-1323.2747,5119.043834,4748.194919,-9104.459107,-2035.678563,-5979.008077,-10702.21752,-1052.79946,-10692.51394,-926.5871355,-10594.13542,-8635.724531,-23216.50991,-13454.94205,-23915.89134,-6629.31559,-9298.397765,,,,,
ARIMA 719d,-12715.8362,-10482.4788,-4413.894109,-1326.535279,5119.891462,4747.820744,-9111.91888,-2039.783673,-5990.693986,-10711.36015,-1060.747475,-10699.92411,-937.1237072,-10601.87297,-8650.683006,-23215.11529,-13449.48724,-23918.4309,-6627.902377,-9297.022554,,,,,
ARIMA 810,-12704.02549,-10474.04725,-4410.138551,-1322.443797,5127.044543,4745.211079,-9103.930642,-2034.807578,-5972.058598,-10698.3831,-1056.780403,-10696.02591,-936.1688198,-10592.54718,-8640.459018,-23212.23024,-13442.11339,-23919.6845,-6615.294547,-9291.123009,,,,,
ARIMA 810d,-12705.52065,-10486.99351,-4415.702743,-1326.167103,5124.470115,4745.812728,-9111.506702,-2038.730128,-5980.465111,-10701.18367,-1062.249235,-10707.14041,-936.8103849,-10597.30304,-8654.407131,-23213.36066,-13442.4315,-23921.30921,-6613.905466,-9289.641317,,,,,
ARIMA 811,-12703.02726,-10472.51138,-4408.475427,-1321.592834,5128.595751,4743.74543,-9102.453741,-2033.916351,-5972.937371,-10696.5131,-1054.778219,-10694.00357,-934.0039108,-10590.53168,-8638.452669,-23210.23046,-13442.19162,-23918.09814,-6613.751923,-9289.118294,,,,,
ARIMA 8110,-12712.20404,-10472.81614,,-1323.41226,5123.10388,4749.720307,-9096.979968,-2036.125572,-5980.53787,-10700.76691,-1056.769853,-10681.15422,-939.3777584,-10598.59115,-8634.191638,-23205.00182,-13447.29976,-23918.71329,-6617.247756,-9296.614925,,,,,
ARIMA 8110d,-12709.92177,-10480.39435,,-1326.898781,5121.439951,4746.431907,-9107.831107,-2040.626433,-5989.372163,-10703.04602,-1061.6847,-10698.34946,-927.1534976,-10605.28452,-8641.925409,-23204.379,-13454.44783,-23920.35705,-6615.866639,-9294.46529,,,,,
ARIMA 811d,-12704.41125,-10486.0571,-4413.870769,-1326.478879,5126.066347,4744.377226,-9110.74236,-2039.007902,-5985.162915,-10699.28333,-1060.324364,-10705.13537,-934.7949815,-10597.52583,-8652.490403,-23211.36143,-13442.63971,-23919.92211,-6612.340097,-9287.637027,,,,,
ARIMA 812,-12696.01387,-10472.59245,-4407.19809,-1320.802729,5130.555643,4738.764808,-9100.314776,-2032.974164,-5970.602005,-10694.3546,-1059.042776,-10691.99647,-938.3153687,-10597.24354,-8637.571254,-23214.47369,-13447.64393,-23916.68373,-6612.380813,-9296.776473,,,,,
ARIMA 812d,-12702.33759,-10485.63643,-4413.367628,-1325.70234,5128.055418,4739.347561,-9108.742658,-2038.083391,-5982.843246,-10697.31667,-1063.746553,-10703.64176,-932.8159994,-10602.04053,-8651.376811,-23215.43482,-13447.81201,-23918.73818,-6610.386233,-9295.279764,,,,,
ARIMA 813,-12699.81633,-10470.7951,-4411.466137,-1322.102464,5131.794555,4736.636584,-9099.786158,-2034.361313,-5969.970347,-10693.63037,-1056.249548,-10696.5341,-936.4285234,-10594.78814,-8635.638842,-23210.64685,-13445.58985,-23922.27238,-6612.080046,-9296.336563,,,,,
ARIMA 813d,-12703.96237,-10483.64909,-4417.469743,-1326.869108,5129.553497,4737.181612,-9107.964747,-2039.343501,-5995.059302,-10698.72253,-1062.713658,-10712.51826,-932.6007338,-10601.289,-8649.358792,-23213.90502,-13445.92525,-23916.73682,-6609.119895,-9294.667951,,,,,
ARIMA 814,-12700.58709,-10471.32843,-4405.886558,-1328.161044,5133.956349,4741.235085,-9097.737516,-2039.03837,-5980.823397,-10691.40697,-1054.03325,-10700.95453,-934.0213644,-10589.76844,-8633.622582,-23215.5269,-13443.75862,-23919.33581,-6623.345786,-9294.267447,,,,,
ARIMA 814d,-12704.94639,-10482.89324,-4411.719551,-1331.621286,5130.512542,4739.129929,-9106.458766,-2042.774234,-5990.549093,-10696.26791,-1059.715209,-10714.44558,-929.17928,-10599.43793,-8647.452806,-23216.06268,-13444.28132,-23922.41099,-6610.982946,-9292.869536,,,,,
ARIMA 815,-12702.03634,-10472.32309,-4412.548927,-1326.23356,5129.002074,4747.683418,-9104.663929,-2036.977215,-5980.264146,-10704.00425,-1057.736055,-10690.33025,-932.6981714,-10597.52569,-8637.846213,-23220.95386,-13442.27675,-23922.05101,-6625.418243,-9298.518204,,,,,
ARIMA 815d,-12703.86636,-10485.16529,-4418.414858,-1327.41238,5127.587983,4750.542918,-9109.185508,-2041.834369,-5992.047882,-10709.05341,-1062.655787,-10709.52713,-937.8834513,-10606.65569,-8645.774958,-23224.94424,-13449.25453,-23924.34574,-6624.136454,-9297.039202,,,,,
ARIMA 816,-12707.43581,-10466.04024,-4406.524239,-1325.851015,5131.11987,4740.488567,-9108.202365,-2028.337726,-5975.886186,-10692.6763,-1053.468184,-10695.37982,-932.0331203,-10598.28545,-8635.187553,-23215.11607,-13440.84518,-23920.25502,-6621.013876,-9297.97813,,,,,
ARIMA 816d,-12708.28071,-10485.30685,-4416.825866,-1330.300033,5123.120321,4742.991766,-9106.924145,-2033.283393,-5989.797669,-10710.70687,-1057.748421,-10707.19749,-929.8552895,-10604.40103,-8645.522288,-23217.32969,-13454.56966,-23921.85339,-6606.84453,-9298.849627,,,,,
ARIMA 817,-12709.26513,-10470.27635,-4406.678271,-1324.65314,,,-9096.387039,-2036.196091,-5982.125401,,-1054.30662,-10692.92623,-922.5365609,-10597.0271,-8632.934127,-23209.49219,-13444.17192,-23917.79003,-6630.89243,-9303.013925,,,,,
ARIMA 817d,-12704.17261,-10485.42435,-4411.680432,-1328.330146,,,-9105.371433,-2040.033092,-5992.174354,,-1060.704329,-10707.55427,-923.1787638,-10605.88291,-8655.395516,-23211.61464,-13441.06274,-23920.15328,-6629.36846,-9302.425277,,,,,
ARIMA 818,-12707.07786,-10481.62658,-4408.244906,-1323.299311,5123.839163,4740.48177,-9102.066777,-2035.152309,-5981.133429,-10708.3315,-1065.192482,-10684.00091,-926.5887661,-10595.3678,-8632.906197,-23207.58794,-13447.05223,-23918.71064,-6629.919405,-9301.79562,,,,,
ARIMA 818d,-12708.29537,-10483.59717,-4413.560116,-1326.816906,5116.042148,4740.965281,-9111.140535,-2038.344572,-5990.602218,-10707.03202,-1059.435464,-10703.16887,-931.4387987,-10604.23935,-8652.098666,-23216.0256,-13446.32059,-23920.12365,-6628.363884,-9300.495165,,,,,
ARIMA 819,-12707.73454,-10467.34548,-4405.884121,-1321.801681,5122.765722,4740.789077,-9102.725851,-2035.484377,-5977.315212,-10701.47467,-1068.726266,-10686.34689,-934.11662,-10592.93588,-8640.316737,-23211.63372,-13455.68121,-23915.10922,-6625.480075,-9296.610989,,,,,
ARIMA 819d,-12706.44307,-10481.66559,-4411.756458,-1325.343411,5115.310311,4740.910942,-9115.079742,-2036.480868,-5988.448018,-10708.85152,-1068.525086,-10695.95572,-935.4590741,-10606.26889,-8647.202477,-23209.12799,-13455.98592,-23918.99675,-6625.526885,-9295.599635,,,,,
ARIMA 910,-12702.94641,-10472.92867,-4408.363628,-1320.484287,5128.61212,4741.394372,-9102.579983,-2032.889169,-5970.74305,-10696.38904,-1054.900391,-10694.52219,-934.3377672,-10592.30706,-8638.459085,-23210.23139,-13443.89046,-23917.87712,-6615.22998,-9290.954165,,,,,
ARIMA 910d,-12704.28435,-10486.70195,-4413.793228,-1324.283489,5126.16677,4741.842642,-9110.593923,-2036.91588,-5979.636365,-10699.21873,-1060.527341,-10706.17434,-934.9315339,-10597.53095,-8652.556557,-23211.37157,-13444.43814,-23919.57697,-6613.80272,-9289.441857,,,,,
ARIMA 911,-12701.05044,-10471.32515,-4406.36345,-1318.480274,5130.505759,4742.124892,-9101.804643,-2030.886084,-5971.435241,-10694.38334,-1054.558174,-10693.06523,-932.1786988,-10591.02396,-8636.459818,-23209.62084,-13441.90414,-23915.89907,-6614.191449,-9289.679064,,,,,
ARIMA 9110,-12710.40682,-10469.58916,-4414.505352,-1324.776377,5111.71221,,-9103.540347,-2034.192582,,-10693.36912,,-10682.63456,-937.2098888,-10589.86197,-8637.094293,-23201.9379,-13452.2368,-23910.95414,-6624.244203,-9293.143112,,,,,
ARIMA 9110d,-12714.73385,-10481.54281,-4410.817138,-1328.511249,5108.437902,,-9113.340997,-2038.956564,,-10698.6224,,-10701.93737,-937.3490594,-10594.96143,-8638.579544,-23204.11675,-13453.28892,-23908.7246,-6620.564568,-9291.749808,,,,,
ARIMA 911d,-12702.39741,-10484.94805,-4411.947733,-1325.238468,5128.034035,4742.621251,-9109.429206,-2037.750865,-5983.597106,-10697.1925,-1060.113174,-10704.60474,-932.8120509,-10596.6063,-8650.536618,-23210.79365,-13442.42295,-23918.58255,-6612.773691,-9288.149862,,,,,
ARIMA 912,-12699.03086,-10471.174,-4405.201189,-1318.803639,5123.743654,4743.59821,-9100.047586,-2030.98456,-5969.552353,-10692.38292,-1059.945524,-10690.9438,-936.5854547,-10595.74058,-8635.603279,-23206.98852,-13441.49682,-23914.64002,-6612.561613,-9293.404963,,,,,
ARIMA 912d,-12700.41407,-10483.62635,-4411.376763,-1323.701229,5130.062725,4743.820498,-9108.34366,-2036.094813,-5981.207674,-10695.19234,-1063.506436,-10702.43501,-948.1640841,-10600.79245,-8649.35928,-23208.84237,-13442.12707,-23916.63227,-6611.197656,-9291.903621,,,,,
ARIMA 913,-12697.89863,-10468.60977,-4404.151652,-1320.161678,5112.20989,4741.001835,-9097.795192,-2032.508518,-5968.615176,-10690.34753,-1056.21467,-10691.73567,-934.4210743,-10593.463,-8634.081471,-23205.38815,-13439.3558,-23915.98749,-6611.165876,-9291.399334,,,,,
ARIMA 913d,-12702.15392,-10481.65277,-4410.206553,-1324.959059,5109.702883,4741.18058,-9105.934882,-2037.531847,-5983.999421,-10693.25174,-1061.426285,-10711.51116,-935.5393461,-10606.00992,-8647.321896,-23207.9608,-13440.02031,-23917.27767,-6609.654295,-9290.790896,,,,,
ARIMA 914,-12699.93029,-10466.99093,-4404.006944,-1326.201456,5133.936942,4741.90323,-9095.697648,-2036.914453,-5970.566669,-10703.67124,-1052.557946,,-932.4672644,-10592.37952,-8635.924579,-23208.86276,-13452.0953,-23919.6207,-6610.288404,-9290.465912,,,,,
ARIMA 914d,-12703.90639,-10479.71449,-4409.948839,-1329.502093,5130.010682,4742.104594,-9103.992084,-2040.953787,-5982.847609,-10691.45676,-1062.220357,,-933.1470995,-10603.4215,-8649.720693,-23210.17357,-13452.37354,-23921.40299,-6610.198521,-9288.951564,,,,,
ARIMA 915,-12702.94802,-10471.85512,-4407.406674,-1323.993141,5116.204296,4743.802276,-9099.439881,-2035.098036,-5969.930476,-10689.97557,-1056.330136,-10688.52212,-931.3482328,-10589.79284,-8633.124828,-23213.97519,-13450.09787,-23919.85569,-6608.271896,-9297.898644,,,,,
ARIMA 915d,-12701.9603,-10482.43933,-4412.529427,-1328.391136,5108.172593,4743.99536,-9107.869438,-2038.60784,-5978.058301,-10707.78428,-1062.471829,-10707.36405,-935.4461502,-10601.88665,-8648.268902,-23215.88754,-13450.23957,-23922.30532,-6610.258125,-9296.543754,,,,,
ARIMA 916,-12705.08045,-10471.62486,-4406.537038,-1314.702457,5125.328193,4737.494343,-9107.267427,-2033.059697,-5978.010819,-10687.19057,-1051.289324,-10685.96269,-930.3269481,,-8633.005006,-23215.60501,-13449.25495,-23918.35766,-6608.987146,-9296.123136,,,,,
ARIMA 916d,-12711.16111,-10483.82195,-4412.398848,-1319.473823,5116.948602,4740.464745,-9107.601783,-2031.358613,-5990.730078,-10708.35014,-1063.136473,-10697.11513,-936.4117466,,-8647.066359,-23213.11812,-13451.44466,-23920.13119,-6608.442534,-9293.640216,,,,,
ARIMA 917,-12707.82563,-10469.63823,-4402.84957,-1322.970967,5116.671491,4747.447807,-9105.569313,-2032.204787,-5978.92393,-10707.75318,-1055.471008,-10689.16925,-937.6137393,,-8636.791389,-23210.08224,-13459.00964,-23915.66461,-6628.180312,-9298.349262,,,,,
ARIMA 917d,-12710.74623,-10482.55636,-4409.630076,-1326.39906,5113.012029,4743.674122,-9107.994958,-2038.587716,-5990.403977,-10709.62051,-1061.031958,-10695.75233,-939.0452941,,-8644.341357,-23211.66203,-13459.44434,-23917.84794,-6627.090614,-9297.010199,,,,,
ARIMA 918,-12705.80226,-10467.20554,,-1322.017252,5122.975204,4742.788403,-9112.066211,-2035.149987,-5977.029854,-10701.37331,-1065.673113,-10683.31727,-935.7173206,-10594.4077,-8630.3286,-23207.98731,-13456.64192,-23915.11117,,-9312.67071,,,,,
ARIMA 918d,0,-10487.06601,,-1325.296827,5120.171583,4740.378717,-9102.944737,-2037.920962,0,-10703.53196,-1070.217633,-10698.43923,-934.6732793,-10598.82739,-8643.175196,-23210.16288,-13455.12588,-23917.29382,,-9307.17576,,,,,
ARIMA 919,-12708.61778,-10470.54577,-4410.159698,-1321.343401,5112.878618,4743.73903,-9093.500998,-2033.504302,-5976.874518,-10694.03548,-1064.721235,-10681.35283,-933.2104304,-10590.42716,-8626.644012,-23203.65839,-13453.68988,-23917.349,-6623.919293,-9294.955356,,,,,
ARIMA 919d,-12713.04721,-10479.37069,-4414.995736,-1325.166687,5109.662578,4745.915048,-9111.388266,-2037.535781,-5988.599513,-10703.06501,-1067.66795,-10692.2599,-933.6629958,-10595.22773,-8645.466956,-23206.85796,-13454.64866,-23920.35199,-6615.634313,-9293.625289,,,,,