Portefølje vægte,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
02/01/2020,-10%,20%,13%,0%,20%,9%,-4%,20%,-10%,20%,19%,0%,-9%,-10%,20%,20%,-9%,-2%,-10%,3%
03/01/2020,12%,-10%,-10%,17%,20%,20%,-10%,20%,10%,-10%,-10%,2%,-10%,20%,-1%,20%,-10%,20%,20%,-10%
06/01/2020,11%,-10%,20%,20%,20%,10%,-6%,20%,19%,-5%,-10%,-10%,-10%,20%,-10%,20%,8%,13%,-10%,-10%
07/01/2020,-10%,-10%,20%,-10%,20%,20%,20%,20%,19%,-10%,-4%,20%,-10%,14%,-9%,-10%,-10%,20%,20%,-10%
08/01/2020,19%,20%,-10%,-10%,-10%,17%,-10%,-6%,20%,20%,-10%,20%,-1%,20%,13%,-10%,-1%,20%,5%,-5%
09/01/2020,20%,20%,-10%,-7%,20%,-10%,0%,20%,-10%,13%,-10%,-10%,-10%,20%,20%,20%,1%,20%,2%,-10%
10/01/2020,20%,-10%,-10%,20%,-10%,-4%,8%,20%,20%,-10%,-10%,20%,-4%,20%,20%,20%,-10%,20%,-10%,-10%
13/01/2020,20%,19%,-10%,6%,20%,20%,9%,-10%,-10%,20%,-10%,-10%,-3%,-10%,20%,10%,-10%,20%,20%,-10%
14/01/2020,-10%,-10%,-10%,-10%,-10%,12%,-10%,2%,20%,20%,20%,20%,18%,13%,-10%,20%,-9%,20%,20%,-7%
15/01/2020,-10%,9%,-10%,-2%,20%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%,20%,20%,20%,7%,5%,20%,-10%
16/01/2020,13%,20%,-10%,-10%,19%,-10%,-3%,14%,20%,-4%,12%,-10%,-10%,20%,20%,-10%,-10%,16%,7%,17%
17/01/2020,19%,-8%,-10%,20%,20%,-7%,-10%,20%,-10%,20%,9%,20%,-10%,20%,20%,17%,-10%,-10%,0%,-10%
21/01/2020,-10%,-5%,17%,-10%,-10%,20%,-7%,20%,20%,20%,14%,20%,-10%,20%,-3%,20%,-6%,0%,0%,-10%
22/01/2020,-10%,-10%,-10%,-10%,20%,20%,20%,20%,20%,-10%,20%,-10%,20%,20%,20%,-10%,-10%,20%,-10%,-10%
23/01/2020,-10%,20%,1%,-10%,20%,2%,-2%,15%,14%,20%,20%,-10%,-10%,20%,20%,3%,-10%,11%,-3%,-10%
24/01/2020,20%,20%,2%,-9%,20%,2%,-5%,-10%,-10%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,20%,20%,-10%
27/01/2020,-10%,5%,20%,-10%,12%,13%,-10%,-10%,-10%,20%,-10%,20%,-10%,20%,-10%,20%,20%,20%,20%,-10%
28/01/2020,20%,20%,-10%,-10%,-5%,-1%,8%,13%,5%,20%,20%,-10%,1%,20%,9%,5%,-10%,20%,-6%,-10%
29/01/2020,3%,20%,13%,-10%,20%,20%,-5%,16%,-10%,18%,2%,20%,-10%,-10%,-6%,20%,-7%,-7%,20%,-7%
30/01/2020,-10%,20%,7%,-2%,20%,20%,-6%,-10%,-10%,20%,6%,20%,5%,-10%,20%,14%,-10%,10%,-10%,5%
31/01/2020,-10%,20%,20%,15%,20%,20%,-10%,-10%,-10%,10%,17%,-10%,9%,9%,12%,20%,1%,-4%,-10%,-10%
03/02/2020,-10%,20%,-5%,20%,18%,15%,-3%,20%,12%,20%,1%,-3%,-10%,-4%,20%,20%,-7%,-3%,-10%,-10%
04/02/2020,-10%,20%,15%,-10%,-8%,18%,-10%,-10%,12%,20%,20%,-10%,1%,-4%,20%,20%,-2%,-2%,20%,1%
05/02/2020,-10%,20%,-6%,-10%,20%,-10%,-10%,9%,20%,20%,20%,-10%,15%,-4%,1%,-8%,7%,20%,20%,-5%
06/02/2020,-10%,20%,9%,20%,20%,8%,-3%,20%,-10%,11%,13%,-10%,-10%,-10%,6%,20%,2%,-6%,20%,-10%
07/02/2020,-10%,20%,12%,1%,8%,2%,-10%,20%,-10%,20%,20%,10%,13%,-10%,-10%,20%,20%,3%,-10%,-10%
10/02/2020,-10%,20%,20%,-10%,-10%,20%,20%,20%,-10%,20%,-10%,20%,-10%,20%,-10%,20%,20%,-10%,-10%,-10%
11/02/2020,-10%,-10%,9%,20%,20%,3%,-8%,-8%,20%,20%,20%,-10%,-8%,1%,20%,20%,0%,-10%,20%,-9%
12/02/2020,17%,-10%,-5%,8%,20%,-10%,-6%,-10%,20%,-10%,20%,20%,4%,-10%,18%,4%,0%,6%,20%,3%
13/02/2020,-10%,-10%,16%,-10%,20%,20%,-10%,-6%,6%,20%,17%,9%,-1%,20%,20%,12%,-10%,-10%,17%,-9%
14/02/2020,-10%,20%,-10%,-2%,20%,0%,13%,20%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,10%,19%,-10%
18/02/2020,-10%,20%,3%,17%,20%,20%,0%,-10%,16%,-9%,2%,20%,-10%,-8%,17%,20%,-10%,-9%,20%,-10%
19/02/2020,20%,-10%,-10%,-10%,20%,20%,20%,20%,20%,20%,-10%,20%,-10%,-10%,20%,-10%,20%,-10%,-10%,-10%
20/02/2020,-9%,-10%,-10%,18%,20%,-7%,-7%,-10%,-9%,20%,-8%,-10%,20%,20%,20%,20%,2%,20%,0%,20%
21/02/2020,-10%,-10%,-10%,-10%,20%,3%,-10%,-10%,20%,20%,10%,-10%,2%,20%,14%,20%,10%,20%,-10%,20%
24/02/2020,20%,-10%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,20%
25/02/2020,-10%,20%,20%,20%,20%,-10%,-10%,20%,-10%,-10%,20%,-10%,-10%,20%,-10%,20%,-10%,20%,-10%,20%
26/02/2020,5%,20%,6%,20%,6%,-10%,-6%,20%,20%,20%,20%,-9%,-10%,-10%,-10%,20%,1%,-10%,17%,-10%
27/02/2020,-10%,-10%,20%,-10%,-10%,20%,20%,-10%,20%,20%,20%,-10%,20%,-10%,20%,-10%,20%,-10%,-10%,20%
28/02/2020,-10%,20%,-10%,20%,20%,-8%,5%,20%,20%,-10%,7%,20%,-10%,-10%,20%,20%,-7%,-9%,11%,-10%
02/03/2020,-10%,20%,3%,-10%,20%,4%,-5%,20%,20%,20%,16%,20%,-10%,-3%,-6%,20%,-2%,-10%,3%,-10%
03/03/2020,20%,6%,20%,-10%,-10%,20%,-10%,-10%,-10%,-10%,4%,-10%,-10%,20%,-10%,20%,20%,20%,20%,20%
04/03/2020,-10%,20%,-2%,-8%,20%,-5%,-1%,20%,20%,9%,14%,16%,-10%,1%,-10%,20%,4%,-4%,15%,-10%
05/03/2020,20%,20%,20%,-10%,-10%,20%,20%,-10%,20%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
06/03/2020,15%,-10%,-1%,7%,20%,-10%,-2%,-10%,20%,-10%,15%,-10%,-10%,-10%,20%,20%,-3%,20%,20%,20%
09/03/2020,20%,20%,20%,20%,-10%,20%,20%,20%,20%,-10%,-10%,-10%,-10%,-10%,20%,-10%,20%,-10%,-10%,-10%
10/03/2020,-10%,13%,10%,-9%,20%,5%,-6%,20%,6%,17%,16%,20%,-4%,-10%,-7%,19%,0%,-10%,20%,-10%
11/03/2020,20%,20%,20%,-10%,-10%,20%,20%,-10%,20%,-10%,-10%,-10%,-10%,-10%,20%,20%,20%,20%,-10%,-10%
12/03/2020,20%,20%,20%,-10%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%
13/03/2020,-10%,3%,0%,15%,20%,-10%,-6%,20%,20%,-5%,15%,20%,10%,-10%,-10%,20%,7%,-9%,20%,-10%
16/03/2020,20%,20%,20%,20%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,-10%,20%
17/03/2020,-10%,20%,9%,20%,20%,-2%,-8%,-10%,20%,8%,19%,1%,0%,-3%,-10%,20%,-6%,-10%,20%,4%
18/03/2020,20%,8%,16%,20%,-10%,-10%,-3%,20%,-10%,-10%,-10%,-10%,8%,-10%,4%,20%,-4%,20%,20%,20%
19/03/2020,-10%,20%,15%,3%,20%,16%,-7%,-10%,8%,20%,20%,20%,-10%,12%,-2%,20%,-10%,-10%,-10%,-5%
20/03/2020,-10%,20%,20%,1%,20%,20%,-7%,-10%,-10%,20%,20%,20%,-10%,-10%,-7%,20%,4%,-10%,20%,-10%
23/03/2020,-10%,20%,20%,20%,-10%,20%,3%,-6%,-10%,-10%,20%,-10%,-10%,20%,20%,4%,-10%,20%,20%,-10%
24/03/2020,-10%,4%,-1%,3%,20%,1%,-5%,20%,20%,20%,13%,20%,-6%,2%,7%,20%,-9%,-7%,-9%,-2%
25/03/2020,-10%,6%,6%,-10%,20%,12%,-10%,-10%,20%,20%,20%,20%,-1%,-10%,20%,20%,-9%,-10%,0%,4%
26/03/2020,-10%,20%,2%,-5%,-6%,-6%,-7%,20%,20%,20%,20%,6%,3%,-10%,-8%,20%,13%,-1%,20%,-10%
27/03/2020,-10%,20%,20%,-10%,20%,20%,20%,-10%,-10%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,20%,-10%
30/03/2020,-10%,20%,-4%,5%,20%,-9%,-4%,20%,20%,20%,20%,-10%,-10%,-3%,11%,20%,0%,3%,-10%,2%
31/03/2020,-4%,20%,4%,20%,20%,17%,-7%,20%,4%,-10%,10%,-10%,-10%,-10%,-10%,20%,1%,16%,-10%,20%
01/04/2020,20%,20%,20%,-10%,20%,-10%,20%,-10%,-10%,-10%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,20%
02/04/2020,-10%,20%,-5%,-10%,3%,-10%,-4%,15%,17%,20%,20%,-7%,2%,-10%,20%,20%,5%,9%,2%,4%
03/04/2020,-7%,20%,20%,-10%,20%,20%,-10%,-10%,-10%,-10%,20%,-10%,13%,20%,20%,20%,-10%,2%,-10%,13%
06/04/2020,-10%,-6%,4%,14%,16%,-1%,-5%,20%,20%,20%,16%,20%,-9%,-10%,3%,20%,-3%,-10%,12%,-10%
07/04/2020,20%,20%,-10%,20%,20%,-10%,20%,-10%,20%,20%,-10%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%
08/04/2020,-10%,-10%,3%,20%,18%,-3%,-9%,-5%,20%,6%,18%,6%,11%,-10%,17%,20%,5%,-8%,20%,-10%
09/04/2020,-10%,20%,6%,-10%,20%,16%,-10%,-3%,-10%,20%,-2%,-10%,20%,20%,4%,20%,6%,1%,11%,-10%
13/04/2020,-6%,20%,20%,-1%,17%,20%,-6%,20%,10%,-10%,20%,-10%,-10%,-8%,7%,20%,-4%,-10%,20%,-10%
14/04/2020,-10%,20%,10%,-4%,20%,11%,-1%,20%,8%,-10%,13%,4%,-10%,7%,5%,20%,-7%,-7%,20%,-10%
15/04/2020,-9%,20%,18%,20%,9%,20%,-5%,20%,20%,-10%,10%,-10%,-10%,-10%,-10%,20%,-1%,-1%,20%,-10%
16/04/2020,-10%,20%,15%,-10%,20%,5%,-3%,11%,20%,-10%,20%,-10%,-10%,20%,-10%,20%,-6%,-1%,20%,0%
17/04/2020,-10%,-10%,-2%,8%,11%,1%,-6%,-10%,-10%,20%,5%,20%,20%,20%,20%,20%,-1%,10%,-10%,5%
20/04/2020,-4%,-10%,20%,-10%,20%,16%,-3%,20%,-10%,-10%,8%,-10%,-10%,20%,-10%,20%,20%,20%,20%,-6%
21/04/2020,20%,-10%,20%,-10%,-10%,-10%,20%,-10%,20%,20%,-10%,20%,-10%,20%,20%,-10%,-10%,-10%,20%,20%
22/04/2020,-10%,19%,-2%,5%,20%,2%,1%,20%,10%,6%,16%,20%,-10%,-10%,20%,20%,-5%,-2%,-10%,-10%
23/04/2020,-10%,-10%,1%,20%,-10%,-10%,-10%,20%,20%,20%,11%,-10%,6%,-10%,0%,20%,0%,12%,20%,20%
24/04/2020,-4%,20%,0%,-10%,-4%,1%,-3%,-10%,20%,20%,20%,-10%,-6%,20%,20%,20%,6%,8%,2%,-10%
27/04/2020,-10%,-5%,9%,-10%,-10%,16%,-10%,-10%,13%,20%,11%,20%,15%,10%,20%,20%,-3%,-7%,20%,-10%
28/04/2020,-8%,-10%,-6%,-10%,20%,-10%,-10%,-10%,11%,20%,16%,20%,20%,20%,20%,6%,-10%,13%,-10%,20%
29/04/2020,-10%,0%,2%,20%,20%,0%,-6%,20%,13%,20%,15%,20%,-4%,-10%,12%,20%,-10%,-10%,-10%,-2%
30/04/2020,20%,20%,20%,20%,20%,-5%,-6%,20%,20%,-10%,20%,-10%,-10%,-9%,-10%,19%,-9%,-10%,9%,-10%
01/05/2020,20%,-10%,-10%,-10%,17%,-10%,3%,15%,-10%,15%,-10%,20%,-10%,20%,20%,20%,20%,20%,-10%,-10%
04/05/2020,-10%,20%,11%,-10%,-10%,20%,-2%,-3%,20%,9%,20%,17%,-10%,20%,20%,20%,-10%,-3%,-9%,-10%
05/05/2020,-8%,18%,-10%,20%,-10%,-7%,1%,-4%,20%,11%,15%,-10%,-10%,-6%,20%,20%,17%,14%,20%,-10%
06/05/2020,14%,20%,20%,-10%,-10%,20%,0%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%,3%,3%,20%,-10%
07/05/2020,-10%,-10%,3%,16%,20%,-4%,-3%,20%,0%,9%,13%,20%,7%,20%,20%,19%,-10%,-10%,-10%,-10%
08/05/2020,-10%,8%,13%,-2%,20%,15%,-10%,-10%,-10%,1%,11%,-10%,12%,1%,20%,20%,-10%,1%,20%,20%
11/05/2020,1%,20%,-9%,20%,-2%,-10%,4%,-9%,20%,-10%,18%,-10%,-10%,20%,9%,20%,20%,20%,-1%,-10%
12/05/2020,20%,-10%,2%,-10%,20%,19%,-7%,-10%,20%,-10%,7%,-10%,-10%,20%,-10%,20%,20%,20%,20%,-10%
13/05/2020,13%,-10%,20%,-10%,20%,-5%,2%,-10%,-10%,-10%,20%,11%,-10%,20%,20%,20%,-10%,20%,-10%,20%
14/05/2020,-10%,-3%,4%,12%,-10%,2%,-8%,-10%,20%,20%,18%,20%,11%,-5%,20%,20%,2%,-5%,12%,-10%
15/05/2020,-10%,20%,-10%,20%,-4%,-6%,12%,20%,1%,-10%,-7%,20%,-10%,20%,20%,20%,-10%,20%,-10%,5%
18/05/2020,-10%,-10%,13%,3%,20%,6%,-10%,-10%,-4%,20%,18%,20%,7%,-10%,17%,14%,-10%,-4%,20%,11%
19/05/2020,1%,20%,20%,-8%,-10%,12%,4%,20%,-10%,-10%,20%,20%,-10%,-10%,20%,-3%,-6%,20%,20%,-10%
20/05/2020,-10%,-10%,8%,20%,20%,1%,-9%,13%,5%,20%,17%,13%,4%,-10%,20%,20%,-10%,-10%,-5%,3%
21/05/2020,-10%,-10%,-10%,20%,20%,6%,-10%,12%,20%,-10%,-3%,-10%,20%,20%,-10%,20%,20%,5%,20%,-10%
22/05/2020,-10%,2%,-9%,20%,20%,-10%,6%,20%,20%,-10%,13%,20%,-10%,20%,20%,20%,-10%,-2%,-10%,-10%
26/05/2020,-10%,-10%,-1%,20%,20%,-2%,-10%,3%,20%,20%,13%,15%,10%,-10%,20%,20%,-10%,-8%,-6%,6%
27/05/2020,-10%,20%,3%,-10%,20%,0%,-10%,11%,20%,20%,10%,-10%,4%,10%,-7%,20%,-9%,-7%,15%,11%
28/05/2020,6%,-4%,-10%,-10%,20%,-10%,7%,20%,5%,-10%,4%,20%,-10%,-10%,20%,20%,12%,20%,20%,-10%
29/05/2020,-10%,20%,12%,7%,20%,6%,2%,-10%,-9%,-10%,20%,19%,-10%,10%,-10%,20%,10%,6%,17%,-10%
01/06/2020,-10%,17%,15%,-10%,-10%,20%,-10%,12%,5%,20%,9%,-4%,10%,-10%,20%,19%,-10%,-1%,17%,2%
02/06/2020,-10%,20%,0%,-10%,20%,-10%,-5%,6%,19%,-10%,20%,-10%,8%,20%,1%,20%,0%,-1%,16%,5%
03/06/2020,-10%,12%,12%,0%,20%,6%,-10%,-10%,1%,20%,20%,-10%,5%,-10%,20%,20%,-1%,-6%,20%,2%
04/06/2020,-2%,20%,0%,-10%,20%,-10%,-10%,-10%,-10%,20%,12%,-10%,20%,-8%,-10%,20%,20%,19%,13%,17%
05/06/2020,-10%,18%,3%,-10%,20%,3%,-10%,19%,20%,20%,14%,0%,1%,-10%,5%,17%,-7%,-10%,14%,3%
08/06/2020,-10%,20%,19%,8%,20%,20%,-10%,-10%,-10%,20%,12%,-8%,-3%,-8%,5%,20%,-6%,-5%,20%,7%
09/06/2020,20%,20%,9%,-10%,-10%,-10%,5%,20%,0%,-10%,20%,-10%,-10%,13%,20%,20%,13%,20%,-10%,-10%
10/06/2020,1%,20%,13%,8%,-10%,20%,4%,-10%,-10%,-10%,11%,20%,-10%,-10%,20%,20%,2%,12%,20%,-10%
11/06/2020,20%,20%,20%,20%,-10%,20%,20%,20%,20%,-10%,-10%,-10%,-10%,-10%,20%,-10%,20%,-10%,-10%,-10%
12/06/2020,-10%,-2%,-5%,20%,20%,-10%,-9%,-5%,20%,20%,20%,20%,18%,-10%,20%,0%,-4%,3%,4%,-10%
15/06/2020,-10%,20%,17%,14%,20%,20%,-10%,-10%,7%,20%,20%,-10%,-4%,-10%,17%,7%,-10%,-7%,20%,-10%
16/06/2020,-9%,20%,-8%,3%,-10%,-9%,-6%,-10%,20%,-1%,12%,-10%,20%,20%,19%,20%,-1%,20%,-10%,20%
17/06/2020,-10%,20%,12%,-7%,1%,6%,0%,20%,20%,-10%,20%,20%,-10%,9%,-1%,20%,-10%,-10%,20%,-10%
18/06/2020,-10%,20%,14%,-10%,20%,11%,-6%,-10%,-10%,-10%,20%,5%,16%,-10%,20%,18%,9%,2%,20%,-10%
19/06/2020,-2%,20%,-1%,-10%,20%,6%,-7%,20%,11%,-10%,-10%,10%,20%,-10%,-10%,20%,7%,5%,20%,2%
22/06/2020,-6%,20%,-6%,20%,20%,-10%,4%,5%,20%,-10%,20%,20%,-10%,-2%,20%,18%,-4%,0%,-10%,-10%
23/06/2020,-8%,-2%,5%,20%,17%,4%,-7%,3%,20%,20%,10%,20%,-5%,-10%,-1%,18%,-4%,-10%,20%,-10%
24/06/2020,20%,20%,20%,-10%,20%,-10%,20%,-10%,-10%,-10%,20%,-10%,-10%,20%,-10%,20%,-10%,20%,20%,-10%
25/06/2020,-10%,20%,-7%,-10%,-10%,0%,-9%,3%,20%,20%,9%,-2%,20%,-10%,20%,14%,3%,18%,3%,7%
26/06/2020,11%,20%,12%,-10%,20%,5%,-7%,-10%,-10%,-10%,20%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,20%
29/06/2020,-10%,3%,-3%,20%,20%,9%,-8%,20%,20%,-6%,3%,-10%,6%,-3%,17%,20%,-10%,-10%,20%,2%
30/06/2020,-10%,20%,15%,8%,10%,14%,-8%,-10%,12%,20%,20%,-10%,-7%,-3%,10%,20%,-1%,-10%,20%,-10%
01/07/2020,-10%,-10%,20%,-10%,20%,20%,-10%,20%,20%,20%,-10%,-10%,-10%,-10%,20%,20%,20%,-10%,20%,-10%
02/07/2020,-10%,20%,7%,17%,20%,20%,-6%,20%,-1%,-10%,3%,20%,1%,-10%,-5%,20%,-10%,-10%,12%,1%
06/07/2020,-10%,20%,20%,-10%,20%,16%,-9%,18%,2%,20%,19%,-10%,-9%,-10%,7%,19%,-7%,-10%,19%,-5%
07/07/2020,20%,-5%,-10%,20%,20%,20%,-1%,6%,-10%,-10%,-10%,-10%,-10%,20%,-10%,20%,20%,20%,20%,-10%
08/07/2020,-5%,20%,4%,20%,20%,-10%,0%,-5%,13%,20%,20%,20%,-10%,5%,-10%,-8%,-10%,20%,4%,-9%
09/07/2020,-10%,20%,20%,20%,20%,16%,-2%,20%,-10%,-10%,19%,-10%,-10%,5%,2%,20%,-9%,-10%,20%,-10%
10/07/2020,-10%,-10%,7%,7%,20%,13%,-10%,20%,-2%,20%,-2%,20%,14%,-10%,11%,20%,-10%,-10%,14%,-1%
13/07/2020,9%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,3%,-10%,12%,20%,7%,20%,6%,19%,-7%,20%
14/07/2020,-7%,-6%,-10%,12%,20%,-5%,-1%,-10%,20%,13%,7%,13%,-10%,20%,20%,20%,-10%,9%,-10%,15%
15/07/2020,-1%,-4%,-5%,-9%,7%,8%,-7%,-10%,-10%,20%,-2%,20%,17%,-10%,20%,20%,10%,13%,20%,5%
16/07/2020,-10%,-10%,4%,15%,20%,-8%,-8%,20%,20%,20%,12%,-10%,-10%,16%,-10%,20%,-6%,-3%,20%,8%
17/07/2020,-9%,-1%,-10%,20%,20%,-9%,6%,-10%,20%,-10%,18%,20%,-10%,20%,20%,20%,5%,11%,-10%,-10%
21/07/2020,-10%,20%,20%,-5%,20%,14%,-10%,20%,-3%,-7%,17%,-10%,20%,-10%,20%,14%,-10%,-10%,20%,-10%
22/07/2020,-10%,1%,-10%,3%,20%,-10%,-10%,20%,20%,17%,0%,-10%,20%,20%,11%,20%,-10%,2%,-10%,16%
23/07/2020,-10%,7%,-10%,-10%,20%,0%,-9%,-10%,20%,5%,8%,20%,20%,20%,20%,20%,-2%,-5%,-9%,5%
24/07/2020,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,12%,20%,0%,8%,20%,20%,3%,20%,3%,4%,20%,20%
27/07/2020,5%,18%,17%,-10%,20%,-10%,-1%,20%,-10%,-10%,19%,-10%,-10%,20%,-10%,20%,-10%,3%,20%,20%
28/07/2020,-10%,20%,14%,-10%,-7%,20%,-5%,-10%,-10%,-4%,11%,20%,8%,-8%,16%,20%,-9%,9%,20%,14%
29/07/2020,-10%,17%,-10%,15%,20%,-9%,-9%,-10%,20%,20%,4%,20%,20%,-10%,-10%,10%,8%,3%,20%,-10%
30/07/2020,-10%,9%,5%,20%,20%,0%,-8%,4%,20%,-10%,19%,-10%,12%,-10%,20%,18%,-1%,-10%,20%,-10%
31/07/2020,8%,20%,9%,-10%,20%,2%,-6%,-10%,19%,-10%,20%,-10%,5%,6%,17%,20%,1%,-10%,20%,-10%
03/08/2020,20%,20%,4%,-10%,20%,-3%,-5%,-10%,10%,-10%,20%,-10%,4%,-10%,20%,20%,11%,-1%,20%,-10%
04/08/2020,1%,20%,3%,-10%,20%,5%,1%,-10%,4%,-10%,16%,4%,-6%,2%,20%,20%,4%,5%,20%,-10%
05/08/2020,-10%,-10%,8%,-10%,20%,2%,-6%,15%,20%,20%,20%,20%,-5%,-10%,20%,6%,-10%,-1%,20%,-9%
06/08/2020,-10%,-10%,1%,14%,20%,-1%,-6%,20%,20%,20%,14%,20%,-4%,-10%,20%,20%,-10%,-10%,-4%,-4%
