Portefølje vægte,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
07/08/2020,-10%,-10%,-2%,20%,20%,-4%,-10%,20%,20%,20%,7%,9%,10%,-7%,2%,16%,0%,-10%,20%,-10%
10/08/2020,-10%,-10%,-6%,0%,20%,-10%,-10%,20%,20%,20%,2%,-10%,8%,15%,-6%,18%,-7%,6%,20%,20%
11/08/2020,-10%,-10%,-10%,-10%,20%,-10%,-10%,20%,20%,20%,3%,20%,18%,13%,4%,20%,-10%,2%,-10%,20%
12/08/2020,-10%,-8%,-2%,20%,20%,-4%,-4%,-9%,20%,20%,20%,2%,-7%,20%,20%,20%,3%,-1%,-10%,-10%
13/08/2020,-10%,20%,16%,-10%,15%,20%,-6%,14%,13%,1%,17%,-10%,-10%,13%,3%,20%,-6%,-10%,20%,-10%
14/08/2020,-1%,20%,3%,-10%,6%,20%,-6%,20%,20%,20%,2%,-10%,-10%,-4%,20%,20%,-9%,-10%,20%,-10%
17/08/2020,-10%,20%,8%,-10%,-10%,20%,7%,-10%,-10%,-10%,8%,20%,-10%,20%,20%,20%,1%,16%,20%,-10%
18/08/2020,-10%,9%,16%,-5%,1%,20%,3%,20%,-10%,-10%,8%,20%,-10%,5%,20%,20%,-10%,2%,20%,-10%
19/08/2020,-10%,-10%,20%,20%,20%,17%,-4%,20%,-10%,4%,12%,13%,-10%,-10%,17%,20%,-10%,-10%,20%,-10%
20/08/2020,-10%,20%,3%,10%,2%,16%,-1%,20%,3%,9%,7%,20%,-10%,-10%,20%,20%,-10%,-10%,11%,-10%
21/08/2020,18%,20%,7%,-10%,20%,20%,0%,20%,-8%,-10%,3%,20%,-10%,-10%,20%,20%,-10%,-10%,11%,-10%
24/08/2020,20%,-10%,1%,-10%,20%,0%,-3%,-10%,-10%,20%,6%,13%,-10%,20%,20%,20%,-10%,10%,-6%,17%
25/08/2020,-10%,-9%,7%,20%,20%,-2%,-10%,4%,0%,20%,15%,17%,13%,-10%,20%,20%,-10%,-4%,-10%,9%
26/08/2020,-10%,20%,7%,20%,20%,5%,-3%,20%,14%,7%,20%,0%,-10%,-10%,20%,20%,-10%,-10%,-10%,-10%
27/08/2020,-10%,20%,18%,-10%,20%,20%,-8%,9%,-6%,20%,17%,-10%,-10%,-10%,20%,20%,-7%,-10%,20%,-2%
28/08/2020,-10%,20%,2%,2%,20%,7%,-7%,-10%,20%,20%,16%,7%,-2%,-10%,20%,15%,-5%,-10%,15%,-10%
31/08/2020,20%,-6%,8%,-7%,20%,0%,1%,-10%,0%,-10%,20%,20%,-10%,-10%,20%,20%,10%,5%,20%,-10%
01/09/2020,20%,20%,20%,-10%,20%,20%,-10%,3%,-4%,-10%,20%,-10%,-10%,-7%,-9%,20%,-10%,-2%,20%,19%
02/09/2020,-10%,13%,1%,20%,20%,-10%,-5%,20%,20%,20%,20%,20%,-10%,-10%,-8%,20%,-10%,-7%,-10%,6%
03/09/2020,20%,-10%,20%,20%,20%,20%,-10%,-10%,-10%,-10%,-10%,20%,20%,20%,-10%,-10%,20%,-10%,20%,-10%
04/09/2020,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,18%,20%,5%,13%,20%,-10%,-10%,20%,15%,20%,20%,20%
08/09/2020,-10%,-3%,5%,-10%,20%,10%,-10%,-10%,-10%,20%,14%,-10%,5%,15%,0%,13%,1%,20%,20%,20%
09/09/2020,-10%,-10%,-8%,-10%,20%,-10%,1%,10%,20%,3%,11%,12%,-10%,20%,20%,20%,-10%,17%,-5%,20%
10/09/2020,-10%,20%,20%,-10%,20%,20%,-5%,-10%,-6%,13%,20%,-4%,-10%,7%,20%,20%,-8%,-10%,20%,-6%
11/09/2020,-10%,-10%,2%,-10%,20%,20%,-10%,-10%,-10%,20%,1%,20%,7%,20%,-1%,20%,-10%,1%,20%,20%
14/09/2020,-10%,5%,-10%,-10%,-10%,8%,-2%,-10%,5%,20%,-4%,20%,5%,20%,20%,20%,-10%,20%,3%,20%
15/09/2020,-10%,20%,7%,-10%,9%,20%,3%,-10%,6%,-10%,8%,20%,-10%,20%,20%,20%,-10%,-3%,20%,-10%
16/09/2020,-10%,18%,18%,-3%,20%,20%,-7%,-10%,0%,-10%,20%,-10%,5%,9%,20%,20%,-3%,-7%,20%,-10%
17/09/2020,-10%,-10%,-10%,-10%,11%,-10%,-10%,-9%,20%,20%,16%,20%,20%,-10%,20%,20%,4%,18%,-10%,20%
18/09/2020,-10%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,7%,10%,19%,14%,-10%,-10%,20%,19%,20%,20%,20%
21/09/2020,20%,20%,3%,-10%,20%,20%,-1%,-10%,-10%,-5%,-3%,-10%,-10%,1%,5%,20%,19%,20%,20%,-10%
22/09/2020,20%,20%,20%,17%,20%,8%,-2%,-10%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,-3%,-9%,20%,-10%
23/09/2020,-6%,20%,20%,-10%,20%,-10%,1%,20%,-10%,-10%,20%,-10%,-10%,-10%,20%,20%,-10%,6%,20%,19%
24/09/2020,-10%,20%,-10%,-10%,-8%,-10%,0%,20%,20%,20%,6%,-10%,-8%,-10%,20%,20%,-10%,20%,20%,20%
25/09/2020,-10%,20%,13%,-8%,-1%,13%,-6%,20%,20%,20%,19%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,-8%
28/09/2020,-10%,20%,11%,12%,20%,12%,-9%,-10%,20%,20%,20%,-10%,-8%,-10%,17%,12%,-8%,-10%,20%,-10%
29/09/2020,-10%,-10%,14%,20%,11%,10%,-7%,4%,11%,20%,20%,12%,-7%,-10%,20%,13%,-10%,-10%,20%,-10%
30/09/2020,20%,20%,-10%,20%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,-10%,20%,-10%,20%,-10%,-10%,-10%,20%
01/10/2020,-10%,20%,6%,9%,20%,10%,-5%,-10%,20%,20%,17%,-3%,-10%,15%,20%,20%,-10%,-10%,-10%,-10%
02/10/2020,-10%,-10%,12%,-7%,-10%,20%,-10%,-10%,20%,20%,9%,20%,9%,20%,20%,17%,-10%,-10%,20%,-10%
05/10/2020,-10%,-10%,-10%,-10%,-3%,-10%,-9%,16%,20%,20%,2%,-10%,20%,20%,16%,17%,-3%,20%,4%,20%
06/10/2020,6%,20%,2%,-10%,-10%,0%,-3%,-10%,20%,16%,20%,-8%,-10%,-10%,20%,10%,-10%,17%,20%,20%
07/10/2020,-10%,20%,-1%,-10%,20%,-1%,-5%,-10%,20%,20%,20%,-10%,1%,9%,20%,-10%,-10%,20%,20%,-3%
08/10/2020,-10%,20%,4%,-10%,15%,5%,-8%,2%,8%,20%,17%,-10%,4%,-5%,16%,-3%,-7%,20%,20%,3%
09/10/2020,-10%,20%,-3%,9%,20%,-3%,-6%,20%,9%,20%,16%,-10%,1%,-10%,16%,2%,-10%,20%,-10%,10%
12/10/2020,-10%,20%,15%,19%,3%,5%,-10%,20%,20%,11%,20%,-10%,-3%,-10%,-2%,20%,-10%,-10%,9%,4%
13/10/2020,-10%,20%,18%,20%,-10%,7%,-10%,20%,20%,20%,20%,-10%,-10%,-10%,-10%,20%,-10%,-10%,20%,5%
14/10/2020,-10%,20%,16%,20%,-10%,20%,-10%,11%,-7%,6%,15%,-10%,-10%,20%,-10%,20%,-10%,-10%,20%,19%
15/10/2020,-3%,20%,2%,20%,20%,20%,-10%,6%,-10%,20%,0%,-10%,-10%,0%,-10%,20%,-10%,-5%,20%,20%
16/10/2020,-10%,11%,-10%,19%,20%,-10%,-10%,20%,20%,20%,1%,-10%,12%,1%,-2%,20%,-8%,1%,-5%,20%
19/10/2020,-10%,-10%,-10%,20%,20%,-10%,-10%,-3%,20%,-10%,13%,20%,15%,16%,-6%,20%,-4%,-10%,20%,20%
20/10/2020,-10%,-10%,-9%,4%,20%,-10%,-10%,20%,-10%,14%,20%,20%,20%,20%,-10%,-10%,-10%,11%,20%,20%
21/10/2020,-10%,-3%,-5%,20%,20%,-5%,-6%,20%,20%,-10%,5%,20%,20%,-10%,17%,18%,-10%,-10%,13%,-3%
22/10/2020,-10%,-4%,-4%,20%,20%,-1%,-10%,20%,20%,20%,10%,5%,12%,-10%,20%,20%,-4%,-8%,-10%,-6%
23/10/2020,-10%,20%,-3%,20%,20%,-7%,-10%,20%,20%,20%,14%,-7%,9%,-10%,-8%,20%,10%,-5%,-2%,-10%
26/10/2020,20%,-10%,20%,20%,20%,-2%,-10%,-10%,20%,-4%,-3%,-10%,20%,-1%,-10%,20%,20%,20%,-10%,-10%
27/10/2020,20%,20%,20%,20%,20%,20%,-6%,-10%,-10%,-10%,6%,-10%,-10%,20%,-10%,20%,0%,-10%,20%,-10%
28/10/2020,20%,20%,20%,20%,20%,20%,-3%,20%,-10%,-10%,2%,-10%,-10%,20%,1%,20%,-10%,-10%,-10%,-10%
29/10/2020,20%,-10%,8%,-10%,20%,-10%,-10%,20%,-10%,20%,20%,-10%,20%,-1%,-10%,19%,20%,20%,-10%,-6%
30/10/2020,-10%,-1%,-5%,20%,20%,-8%,-7%,20%,14%,20%,12%,11%,-1%,-10%,-10%,20%,11%,-3%,11%,-5%
02/11/2020,-10%,7%,-10%,20%,20%,-10%,-10%,20%,20%,20%,12%,-6%,9%,-10%,-4%,20%,15%,2%,-4%,-2%
03/11/2020,-10%,20%,1%,6%,-6%,10%,-10%,-10%,20%,20%,4%,20%,4%,-2%,-8%,20%,-10%,-5%,20%,16%
04/11/2020,-10%,20%,1%,3%,3%,0%,-2%,20%,20%,12%,17%,18%,-10%,-10%,4%,20%,0%,-4%,7%,-10%
05/11/2020,-10%,20%,-5%,3%,-4%,-7%,1%,20%,20%,20%,20%,3%,-10%,-9%,20%,20%,6%,10%,-9%,-10%
06/11/2020,-10%,-10%,20%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,-10%,20%,20%,20%,-10%,20%,20%,-10%,-10%
09/11/2020,-10%,-10%,-10%,20%,20%,-6%,-10%,4%,11%,20%,3%,20%,20%,-10%,20%,20%,-6%,0%,-10%,14%
10/11/2020,-10%,-10%,-10%,20%,20%,-5%,-10%,-5%,19%,20%,5%,20%,20%,-10%,20%,20%,0%,1%,-10%,5%
11/11/2020,20%,-10%,-5%,-10%,20%,-10%,-3%,-10%,20%,-10%,13%,15%,1%,20%,-10%,20%,20%,10%,20%,-10%
12/11/2020,12%,20%,20%,-10%,8%,4%,-4%,20%,20%,-10%,20%,-10%,-10%,20%,-10%,20%,-10%,-10%,20%,-10%
13/11/2020,-10%,15%,-7%,20%,20%,-10%,-5%,20%,20%,20%,17%,-10%,-10%,-10%,20%,20%,-4%,-4%,-10%,8%
16/11/2020,-10%,-10%,4%,5%,20%,-3%,-9%,20%,20%,20%,20%,-4%,1%,-10%,20%,18%,-1%,-10%,17%,-10%
17/11/2020,-10%,-10%,19%,-10%,20%,13%,-10%,7%,-5%,20%,20%,11%,5%,-10%,20%,20%,0%,-10%,20%,-10%
18/11/2020,-10%,-2%,20%,3%,20%,20%,-9%,-10%,-10%,20%,20%,-10%,-8%,-10%,20%,20%,1%,2%,20%,3%
19/11/2020,-10%,20%,15%,-6%,-10%,20%,-6%,-10%,-10%,20%,19%,-10%,-10%,-4%,20%,16%,-5%,19%,15%,17%
20/11/2020,-10%,20%,11%,4%,-5%,7%,-10%,-10%,-10%,20%,20%,-10%,12%,20%,-10%,20%,20%,20%,-10%,1%
23/11/2020,-10%,0%,11%,-10%,0%,1%,-10%,-10%,-10%,20%,19%,20%,18%,-1%,-10%,20%,20%,11%,20%,0%
24/11/2020,-10%,4%,13%,5%,20%,14%,-10%,-10%,-2%,20%,15%,5%,7%,-10%,20%,19%,1%,-9%,20%,-10%
25/11/2020,-10%,20%,14%,-10%,20%,19%,-10%,3%,-10%,20%,12%,-10%,10%,-10%,20%,14%,0%,-2%,20%,-10%
27/11/2020,-10%,20%,-10%,20%,20%,-10%,-10%,-10%,20%,20%,20%,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%
30/11/2020,20%,20%,-2%,-10%,-10%,-7%,1%,-10%,20%,-10%,20%,8%,-10%,20%,-10%,20%,16%,13%,20%,-10%
01/12/2020,20%,20%,2%,10%,20%,-9%,-2%,-10%,20%,-10%,20%,20%,-10%,-5%,-6%,20%,3%,-10%,15%,-10%
02/12/2020,-10%,1%,3%,20%,20%,-1%,-10%,20%,20%,20%,19%,-10%,6%,-10%,20%,20%,-1%,-9%,-7%,-10%
03/12/2020,-10%,-6%,-2%,20%,20%,-5%,-10%,20%,20%,20%,11%,-10%,5%,-10%,8%,20%,3%,-5%,13%,-2%
04/12/2020,-10%,4%,3%,-10%,7%,18%,-8%,-8%,-7%,20%,10%,20%,6%,-10%,20%,20%,-2%,17%,-10%,20%
07/12/2020,-10%,17%,5%,-10%,-10%,7%,-4%,-10%,-6%,20%,20%,20%,-1%,-10%,20%,20%,-3%,18%,-3%,20%
08/12/2020,-3%,20%,19%,-10%,0%,20%,-7%,-10%,-1%,20%,20%,20%,-7%,-10%,-1%,20%,4%,-4%,20%,-10%
10/12/2020,8%,20%,-4%,-10%,20%,1%,-10%,-10%,-10%,8%,1%,-10%,20%,20%,-10%,20%,19%,20%,-3%,11%
11/12/2020,3%,20%,-9%,10%,20%,-9%,-4%,-10%,-10%,-8%,-10%,-10%,20%,20%,-10%,20%,7%,20%,20%,20%
14/12/2020,4%,20%,20%,-10%,11%,20%,2%,-10%,-10%,-10%,15%,20%,-10%,20%,1%,-3%,-10%,20%,20%,-10%
15/12/2020,-10%,20%,14%,-10%,-10%,11%,0%,-10%,-4%,20%,20%,6%,-10%,17%,20%,-1%,-10%,20%,20%,-3%
16/12/2020,-10%,20%,10%,-10%,-10%,10%,-3%,-10%,11%,20%,20%,6%,-4%,14%,20%,-5%,-10%,20%,20%,-10%
17/12/2020,0%,20%,0%,-10%,1%,-4%,-4%,-10%,19%,19%,20%,-10%,-1%,11%,15%,1%,2%,20%,20%,-10%
18/12/2020,-10%,20%,13%,-10%,13%,15%,-4%,-10%,-6%,-5%,20%,14%,9%,-6%,20%,11%,1%,6%,20%,-10%
21/12/2020,-10%,20%,16%,-10%,20%,20%,-10%,-10%,-6%,20%,17%,1%,5%,-10%,20%,18%,-4%,-10%,20%,-7%
22/12/2020,20%,20%,11%,-10%,20%,-4%,-10%,-10%,-4%,20%,20%,-10%,9%,-10%,10%,20%,8%,-10%,20%,-10%
23/12/2020,4%,20%,-6%,11%,20%,-10%,-10%,20%,20%,20%,5%,-10%,16%,1%,-10%,20%,7%,-6%,-1%,-10%
24/12/2020,16%,7%,1%,6%,20%,1%,-10%,-10%,20%,20%,19%,-10%,-3%,-10%,20%,20%,5%,-10%,8%,-10%
28/12/2020,-10%,-10%,-1%,20%,20%,2%,-8%,18%,20%,20%,10%,20%,4%,-10%,20%,20%,-8%,-10%,-10%,-8%
29/12/2020,-10%,-1%,5%,20%,20%,3%,-5%,2%,20%,20%,20%,20%,-8%,-10%,20%,20%,-7%,-10%,-10%,-10%
30/12/2020,-10%,-9%,7%,20%,20%,3%,-6%,0%,20%,20%,20%,20%,-4%,-10%,20%,20%,-3%,-8%,-10%,-10%
31/12/2020,-10%,7%,5%,-6%,20%,10%,-6%,-10%,6%,20%,20%,20%,-1%,-10%,20%,20%,5%,3%,-8%,-5%
04/01/2021,-10%,-10%,-6%,-7%,12%,20%,-10%,-10%,18%,20%,1%,20%,5%,8%,20%,20%,-10%,8%,-10%,20%
05/01/2021,-10%,-1%,-10%,20%,-4%,20%,-10%,20%,19%,20%,-10%,-10%,4%,20%,-10%,20%,-6%,18%,-10%,20%
06/01/2021,-10%,-10%,-10%,-10%,7%,9%,-10%,20%,20%,20%,-10%,-10%,20%,20%,20%,20%,-10%,15%,-10%,20%
07/01/2021,-10%,0%,-4%,13%,20%,-3%,-10%,20%,20%,20%,11%,-10%,8%,-10%,20%,20%,-9%,1%,-10%,13%
08/01/2021,-10%,12%,-1%,5%,20%,5%,-10%,20%,20%,20%,13%,-10%,3%,-10%,20%,20%,-10%,-5%,-10%,7%
11/01/2021,-10%,20%,12%,3%,19%,20%,-5%,-10%,-10%,20%,17%,-10%,-10%,-9%,20%,20%,5%,3%,14%,-10%
12/01/2021,-10%,11%,6%,-10%,12%,2%,-6%,-10%,-10%,20%,15%,-10%,6%,20%,0%,13%,16%,20%,20%,-5%
13/01/2021,-10%,20%,5%,-10%,20%,-5%,-5%,-10%,-10%,20%,18%,-10%,7%,20%,-10%,10%,20%,20%,20%,-10%
14/01/2021,-10%,20%,17%,-10%,20%,13%,-10%,-10%,-10%,20%,20%,-10%,8%,3%,-10%,3%,8%,20%,20%,-1%
15/01/2021,-5%,20%,2%,-10%,20%,-6%,-4%,19%,-4%,20%,20%,-10%,-4%,7%,-10%,20%,20%,20%,-10%,-4%
19/01/2021,-10%,20%,-10%,20%,20%,-10%,-3%,20%,17%,20%,15%,-10%,-10%,2%,-10%,13%,7%,20%,-10%,-1%
20/01/2021,-10%,20%,-8%,20%,20%,-9%,6%,20%,11%,-10%,14%,-8%,-10%,12%,20%,13%,0%,20%,-10%,-10%
21/01/2021,-10%,20%,3%,20%,20%,-2%,3%,20%,5%,-10%,20%,-4%,-10%,-10%,20%,-6%,-10%,20%,20%,-10%
22/01/2021,9%,20%,6%,20%,20%,-5%,4%,20%,-10%,-10%,9%,-10%,-10%,18%,1%,-3%,-10%,20%,20%,-10%
25/01/2021,20%,20%,5%,-3%,20%,-1%,2%,-10%,-1%,-10%,14%,-10%,-10%,20%,0%,9%,4%,20%,20%,-10%
26/01/2021,20%,20%,12%,-8%,20%,20%,-2%,20%,-10%,-10%,0%,-10%,-10%,20%,-10%,6%,-8%,20%,20%,-10%
27/01/2021,20%,20%,19%,-10%,20%,20%,-5%,-3%,-10%,10%,14%,-10%,-10%,-10%,20%,-5%,-10%,20%,20%,-10%
28/01/2021,-10%,20%,12%,0%,20%,5%,-10%,20%,-10%,20%,13%,20%,0%,-10%,-10%,-10%,-10%,20%,0%,20%
29/01/2021,-10%,20%,20%,-10%,20%,-10%,20%,-10%,20%,20%,20%,-10%,-10%,-10%,20%,-10%,-10%,20%,-10%,20%
01/02/2021,-10%,8%,-1%,20%,20%,-10%,-3%,20%,20%,20%,20%,8%,-9%,-10%,15%,20%,-4%,-7%,-10%,-6%
02/02/2021,-10%,-10%,16%,20%,20%,5%,-8%,11%,4%,20%,20%,4%,-9%,-10%,12%,20%,-10%,-10%,13%,2%
03/02/2021,-10%,-4%,3%,20%,20%,3%,-7%,20%,15%,20%,14%,-2%,-3%,-10%,20%,20%,-4%,-10%,5%,-10%
04/02/2021,-10%,-10%,-8%,20%,20%,-3%,-5%,20%,0%,20%,1%,20%,10%,-10%,20%,20%,4%,-3%,3%,-10%
05/02/2021,-10%,-3%,-10%,20%,20%,-7%,-3%,20%,-10%,20%,-3%,20%,12%,-10%,-1%,6%,11%,19%,20%,-10%
08/02/2021,-10%,-10%,3%,17%,20%,2%,-7%,-10%,-10%,20%,10%,20%,15%,-6%,20%,-7%,-10%,20%,20%,3%
09/02/2021,-10%,20%,-4%,20%,20%,-2%,-7%,17%,4%,20%,4%,-10%,-3%,-10%,-10%,3%,-10%,17%,20%,20%
10/02/2021,-10%,20%,-10%,11%,20%,-10%,-4%,8%,20%,20%,10%,-10%,-6%,-5%,-2%,1%,-10%,20%,20%,18%
11/02/2021,-10%,20%,-10%,20%,20%,-10%,3%,12%,20%,7%,13%,20%,-10%,-10%,20%,20%,-10%,-3%,-10%,-3%
12/02/2021,-10%,13%,-10%,3%,20%,-10%,4%,20%,10%,20%,15%,20%,-10%,-6%,20%,5%,-4%,20%,-10%,-10%
16/02/2021,-10%,2%,5%,-6%,20%,-2%,-7%,20%,-10%,20%,20%,8%,10%,-10%,20%,14%,-4%,10%,-10%,9%
17/02/2021,-10%,16%,1%,8%,20%,-10%,-10%,20%,-10%,20%,12%,-10%,20%,-5%,-10%,20%,12%,15%,-10%,11%
18/02/2021,-10%,-10%,20%,1%,20%,-10%,-10%,20%,7%,20%,1%,-8%,20%,20%,-10%,20%,20%,-10%,-10%,10%
19/02/2021,-10%,20%,7%,-1%,-10%,-5%,-10%,-10%,20%,20%,20%,-10%,5%,20%,-10%,20%,-2%,4%,13%,20%
22/02/2021,-10%,-10%,-7%,-9%,-2%,-7%,-10%,-10%,20%,20%,11%,20%,19%,-10%,20%,20%,0%,5%,20%,20%
23/02/2021,-10%,-10%,-10%,20%,13%,-10%,-10%,-10%,20%,20%,7%,20%,20%,-10%,20%,20%,-6%,6%,-10%,20%
24/02/2021,20%,20%,20%,20%,-10%,20%,20%,-10%,-10%,20%,-10%,-10%,-10%,20%,-10%,20%,-10%,-10%,20%,-10%
25/02/2021,-10%,-9%,-10%,20%,7%,5%,-10%,-3%,16%,20%,-6%,20%,20%,-10%,20%,20%,-10%,11%,-10%,20%
26/02/2021,-10%,20%,-10%,-10%,-10%,-10%,-1%,-1%,20%,19%,20%,20%,3%,-10%,20%,17%,20%,20%,-7%,-10%
01/03/2021,-6%,20%,-2%,-10%,20%,-10%,-5%,19%,20%,6%,20%,-10%,1%,20%,-10%,-6%,4%,20%,20%,-10%
02/03/2021,-10%,20%,6%,20%,20%,8%,-5%,-8%,20%,8%,20%,-10%,-10%,-2%,20%,7%,-10%,-4%,20%,-10%
03/03/2021,20%,-10%,-10%,2%,20%,1%,-10%,-10%,13%,20%,-9%,20%,20%,1%,20%,20%,-8%,-9%,20%,-10%
04/03/2021,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%,20%,-10%,20%,20%,-10%,-2%,20%,-2%,4%,20%,-10%
05/03/2021,-10%,-10%,-10%,20%,20%,-10%,-10%,20%,20%,-1%,-10%,17%,20%,-10%,-10%,20%,-10%,20%,20%,14%
08/03/2021,-10%,-10%,-10%,20%,20%,-10%,-10%,-5%,20%,-10%,-10%,20%,18%,8%,20%,18%,-10%,20%,3%,17%
09/03/2021,-10%,3%,10%,-10%,20%,-10%,-10%,-10%,20%,4%,-2%,20%,-10%,20%,20%,20%,-8%,20%,12%,1%
10/03/2021,-10%,-10%,15%,-10%,20%,20%,-10%,-10%,15%,20%,-10%,20%,-8%,20%,20%,20%,4%,-2%,5%,-10%
11/03/2021,3%,8%,4%,-2%,14%,20%,13%,20%,-2%,-9%,20%,-10%,-10%,20%,-8%,20%,-1%,-10%,20%,-10%
12/03/2021,-10%,-10%,-10%,-8%,-10%,6%,-3%,-10%,3%,20%,5%,20%,20%,20%,10%,0%,0%,17%,20%,20%
15/03/2021,20%,0%,-10%,10%,-10%,10%,6%,-10%,20%,-10%,20%,-10%,15%,20%,-10%,20%,19%,-10%,-10%,20%
16/03/2021,20%,13%,-10%,-8%,-10%,-1%,-3%,-10%,20%,-6%,20%,4%,20%,20%,-10%,20%,20%,-10%,-10%,20%
